,Ticker,Start_Date,Start_Price,End_Date,End_Price,Change,Percent_Change,Portfolio_Weight
117,INTC,2024-01-01,48.54978095650285,2025-01-01,20.229999542236328,-28.319781414266522,-58.33142983619026,0.15
68,CVS,2024-01-01,74.7816525137403,2025-01-01,44.54389129945707,-30.237761214283225,-40.43473258193562,0.1
30,BA,2024-01-01,257.2799987792969,2025-01-01,178.30999755859375,-78.97000122070312,-30.69418594348104,0.24
166,NKE,2024-01-01,105.26243932341309,2025-01-01,75.86601290330006,-29.39642642011303,-27.926795739355914,0.21
140,LULU,2024-01-01,508.57000732421875,2025-01-01,381.5,-127.07000732421875,-24.98574542230334,0.08
6,ADBE,2024-01-01,589.510009765625,2025-01-01,447.760009765625,-141.75,-24.045393233671536,0.35
208,SLB,2024-01-01,50.79774320026095,2025-01-01,38.591319004564745,-12.206424195696208,-24.029461599454486,0.09
82,ELV,2024-01-01,465.4947207336037,2025-01-01,372.3699951171875,-93.12472561641619,-20.005538509578543,0.15
200,REGN,2024-01-01,872.7883690525097,2025-01-01,719.9348272310958,-152.85354182141384,-17.513242298055612,0.14
189,PLD,2024-01-01,128.65066571450302,2025-01-01,106.38999938964844,-22.260666324854583,-17.303187823570738,0.17
46,CCI,2024-01-01,107.93355600662208,2025-01-01,90.7699966430664,-17.163559363555677,-15.901967838901404,0.07
178,OXY,2024-01-01,59.220976966150786,2025-01-01,50.099998474121094,-9.120978492029693,-15.40160085039295,0.08
16,AMD,2024-01-01,144.27999877929688,2025-01-01,122.29000091552734,-21.98999786376953,-15.241196319530975,0.35
233,UPS,2024-01-01,147.6058691017507,2025-01-01,125.24732165609022,-22.358547445660477,-15.147465057942803,0.19
249,ZTS,2024-01-01,193.28555233414127,2025-01-01,164.37307853328755,-28.912473800853718,-14.958424699468198,0.13
147,MDLZ,2024-01-01,70.45870155928091,2025-01-01,60.0,-10.458701559280911,-14.843733034849373,0.14
57,COP,2024-01-01,113.06045540521703,2025-01-01,99.19504215196012,-13.865413253256904,-12.26371608318951,0.22
89,F,2024-01-01,10.896348210001205,2025-01-01,9.596391758838287,-1.2999564511629185,-11.930202909354112,0.07
20,AMT,2024-01-01,207.38706932538676,2025-01-01,184.08999633789062,-23.297072987496136,-11.233618886307433,0.15
195,PSX,2024-01-01,128.11201076167833,2025-01-01,113.73520015291669,-14.376810608761645,-11.222063039433712,0.08
173,ODFL,2024-01-01,200.2874398386652,2025-01-01,178.6436990860717,-21.643740752593487,-10.80633951386461,0.07
52,CMCSA,2024-01-01,41.936363415468655,2025-01-01,37.48482956589065,-4.451533849578006,-10.61497346700313,0.26
49,CHTR,2024-01-01,386.8399963378906,2025-01-01,346.6199951171875,-40.220001220703125,-10.397063799362778,0.09
153,MNST,2024-01-01,57.52000045776367,2025-01-01,52.959999084472656,-4.560001373291016,-7.92767965403508,0.09
92,FCX,2024-01-01,41.277136963357414,2025-01-01,38.244214923115756,-3.032922040241658,-7.34770447604941,0.1
184,PEP,2024-01-01,164.25990478904816,2025-01-01,152.8800048828125,-11.379899906235664,-6.927983990280754,0.38
171,NXPI,2024-01-01,224.48400526007566,2025-01-01,209.61000061035156,-14.8740046497241,-6.625863892838084,0.1
214,STZ,2024-01-01,235.41946780232942,2025-01-01,220.0622599030663,-15.35720789926313,-6.523338126037159,0.07
111,HES,2024-01-01,143.79549226511472,2025-01-01,134.69000244140625,-9.105489823708467,-6.332249836400115,0.07
18,AMGN,2024-01-01,276.6193757259067,2025-01-01,260.07880038703325,-16.540575338873452,-5.979543296801804,0.25
50,CI,2024-01-01,294.96945529747893,2025-01-01,277.4568635473048,-17.512591750174124,-5.937086513758702,0.14
156,MRK,2024-01-01,106.25969066653565,2025-01-01,100.27999877929688,-5.979691887238772,-5.627432048531227,0.45
164,NEM,2024-01-01,40.01841822736987,2025-01-01,37.835378961269704,-2.1830392661001667,-5.455086339737228,0.08
133,LEN,2024-01-01,140.18620241635398,2025-01-01,133.10044191617826,-7.085760500175724,-5.05453488149352,0.07
75,DHI,2024-01-01,148.2372692795644,2025-01-01,140.94476247358494,-7.292506805979457,-4.919482692457276,0.08
64,CSX,2024-01-01,34.03316976058518,2025-01-01,32.417807302505096,-1.6153624580800852,-4.746435519946438,0.11
32,BDX,2024-01-01,239.16190088969043,2025-01-01,228.00999450683594,-11.151906382854492,-4.662910915730733,0.12
123,JNJ,2024-01-01,150.90624503222807,2025-01-01,144.07671135688278,-6.829533675345289,-4.525679950413417,0.63
232,UNP,2024-01-01,238.3645362402061,2025-01-01,228.7225041163241,-9.64203212388199,-4.0450782972872545,0.25
155,MPC,2024-01-01,145.21855390617952,2025-01-01,139.69604155341608,-5.522512352763442,-3.802897222300766,0.08
237,VLO,2024-01-01,125.91957288434843,2025-01-01,122.30108817933737,-3.6184847050110562,-2.8736475371739663,0.07
209,SNPS,2024-01-01,507.95001220703125,2025-01-01,494.0400085449219,-13.910003662109375,-2.738459164843943,0.14
201,ROP,2024-01-01,538.5162687291895,2025-01-01,523.8575058071815,-14.658762922008009,-2.722065009586488,0.1
139,LRCX,2024-01-01,74.40212961388072,2025-01-01,72.49121995691999,-1.910909656960726,-2.568353442136178,0.17
231,UNH,2024-01-01,518.7185355403066,2025-01-01,508.0,-10.718535540306561,-2.066349051734182,0.83
3,ABNB,2024-01-01,134.42999267578125,2025-01-01,131.8699951171875,-2.55999755859375,-1.9043351172144756,0.15
172,O,2024-01-01,53.48076664247592,2025-01-01,52.49283530202839,-0.9879313404475312,-1.8472647317342092,0.08
87,EW,2024-01-01,75.69000244140625,2025-01-01,74.30999755859375,-1.3800048828125,-1.8232327101334163,0.08
185,PFE,2024-01-01,26.773713304708934,2025-01-01,26.314958345434064,-0.4587549592748701,-1.7134528709328665,0.27
221,TGT,2024-01-01,136.92550129514365,2025-01-01,134.60209679721444,-2.3234044979292037,-1.696838409173389,0.11
223,TMO,2024-01-01,528.1230601876581,2025-01-01,519.1699829101562,-8.953077277501848,-1.6952634627089656,0.36
205,SBUX,2024-01-01,92.52149219951599,2025-01-01,91.05579972779114,-1.46569247172485,-1.584164324289311,0.18
0,A,2024-01-01,137.23774327012157,2025-01-01,135.2100067138672,-2.027736556254382,-1.477535631188018,0.07
125,KDP,2024-01-01,32.284279997747035,2025-01-01,32.085944559563714,-0.1983354381833209,-0.6143405960955665,0.08
239,VRTX,2024-01-01,405.0,2025-01-01,403.1400146484375,-1.8599853515625,-0.4592556423611111,0.18
121,ITW,2024-01-01,254.22594202016776,2025-01-01,254.82000732421875,0.5940653040509858,0.23367611477032446,0.14
76,DHR,2024-01-01,228.87282868971909,2025-01-01,230.85000610351562,1.9771774137965394,0.8638759896121099,0.3
144,MCD,2024-01-01,286.4153984603515,2025-01-01,289.2797776886046,2.8643792282530853,1.0000786422974397,0.38
69,CVX,2024-01-01,142.2177261177863,2025-01-01,143.88408250332205,1.6663563855357495,1.1716938746128276,0.46
148,MDT,2024-01-01,79.39859888441653,2025-01-01,80.37000274658203,0.9714038621655021,1.2234521462773047,0.19
161,MU,2024-01-01,83.64269737701298,2025-01-01,84.9800033569336,1.3373059799206146,1.59883172333959,0.18
134,LHX,2024-01-01,206.28338975242383,2025-01-01,210.25,3.9666102475761704,1.922893671825345,0.07
194,PSA,2024-01-01,293.27381475489307,2025-01-01,299.0,5.726185245106933,1.952504777793632,0.09
167,NOC,2024-01-01,459.37034686991905,2025-01-01,469.88424116178976,10.513894291870713,2.28876207694093,0.12
230,UBER,2024-01-01,60.72999954223633,2025-01-01,62.189998626708984,1.4599990844726562,2.404082159521935,0.23
118,INTU,2024-01-01,617.5247540048452,2025-01-01,635.9418387765166,18.417084771671398,2.982404292658832,0.32
5,ACN,2024-01-01,342.681240123463,2025-01-01,353.1000061035156,10.418765980052626,3.0403666031729366,0.41
169,NSC,2024-01-01,229.0866265874607,2025-01-01,236.2250409276818,7.13841434022109,3.1160327630455487,0.1
15,AMAT,2024-01-01,158.39545280233662,2025-01-01,164.09203555664448,5.696582754307855,3.596430739344949,0.24
135,LIN,2024-01-01,404.84222514962033,2025-01-01,420.75,15.907774850379667,3.92937639953454,0.36
98,GD,2024-01-01,253.18184817868118,2025-01-01,263.500752753295,10.31890457461381,4.075688936171807,0.13
219,TEL,2024-01-01,137.52419030501082,2025-01-01,143.32000732421875,5.795817019207931,4.214398213400537,0.08
132,KVUE,2024-01-01,20.424079355255678,2025-01-01,21.30901866240717,0.884939307151491,4.332823486233527,0.08
66,CTSH,2024-01-01,73.83238410707254,2025-01-01,77.21518828785591,3.382804180783367,4.581734995686428,0.07
84,EOG,2024-01-01,117.52362897202617,2025-01-01,123.1242296989358,5.600600726909633,4.765510370891226,0.12
4,ABT,2024-01-01,106.8556365561279,2025-01-01,113.09650790774509,6.240871351617187,5.840469958118731,0.36
141,LVS,2024-01-01,47.78465640458379,2025-01-01,50.94195900535771,3.1573026007739173,6.607356499629555,0.07
177,OTIS,2024-01-01,86.64156637121947,2025-01-01,93.01842235094196,6.376855979722492,7.3600423524207566,0.07
24,APD,2024-01-01,265.2679239595633,2025-01-01,284.8112350327583,19.543311073195014,7.367385691220678,0.12
216,SYY,2024-01-01,70.53860554834077,2025-01-01,76.35219143841776,5.813585890076993,8.241707990800709,0.07
72,DE,2024-01-01,393.19766110083526,2025-01-01,426.0799865722656,32.88232547143036,8.36279783032527,0.21
158,MSCI,2024-01-01,551.8642622307892,2025-01-01,599.6081702033653,47.74390797257604,8.651386081711806,0.09
120,IT,2024-01-01,446.82000732421875,2025-01-01,487.19000244140625,40.3699951171875,9.034956907803476,0.07
130,KO,2024-01-01,57.05737415188031,2025-01-01,62.349998474121094,5.292624322240783,9.275968971429377,0.48
80,EA,2024-01-01,134.60285996199278,2025-01-01,147.3571537246547,12.754293762661916,9.475499826870907,0.07
137,LMT,2024-01-01,439.4659998063118,2025-01-01,482.3793661035198,42.91336629720803,9.764888823281316,0.21
88,EXC,2024-01-01,34.00301515420738,2025-01-01,37.56051920554637,3.557504051338988,10.462319400809955,0.07
206,SCHW,2024-01-01,66.91340401713259,2025-01-01,74.13379900671859,7.220394989585998,10.79065561772538,0.24
90,FANG,2024-01-01,148.8446484937042,2025-01-01,164.9856556304771,16.141007136772913,10.844197154629743,0.08
248,XOM,2024-01-01,96.72584400223201,2025-01-01,107.32005383488186,10.594209832649852,10.95282232161798,0.84
113,HON,2024-01-01,203.40456211070978,2025-01-01,225.8612254538552,22.456663343145436,11.04039315053447,0.27
12,AIG,2024-01-01,65.9400057118764,2025-01-01,73.30000305175781,7.359997339881417,11.161657116077281,0.08
58,COR,2024-01-01,202.73820969867174,2025-01-01,225.37194829264251,22.633738593970776,11.16402212864123,0.08
198,QCOM,2024-01-01,138.69235940456292,2025-01-01,154.1786571655413,15.486297760978374,11.165934322167773,0.31
7,ADI,2024-01-01,192.94326898225174,2025-01-01,214.55650254784496,21.61323356559322,11.201859323520301,0.19
127,KLAC,2024-01-01,566.8783224377163,2025-01-01,633.2595612670688,66.38123882935247,11.709962473762765,0.15
17,AME,2024-01-01,162.73438837351765,2025-01-01,181.9600067138672,19.22561834034954,11.814109195053328,0.08
202,ROST,2024-01-01,136.1421176587887,2025-01-01,152.52999877929688,16.387881120508183,12.037333782026902,0.09
128,KMB,2024-01-01,115.89008871960807,2025-01-01,130.30679684074923,14.416708121141156,12.43998367800189,0.08
181,PCAR,2024-01-01,92.98542451517238,2025-01-01,104.64348274751617,11.658058232343791,12.53751143593645,0.1
207,SHW,2024-01-01,301.4099422604625,2025-01-01,339.4581410258363,38.0481987653738,12.623405346229275,0.16
247,XEL,2024-01-01,59.542471150631556,2025-01-01,67.2825523787534,7.740081228121838,12.999260995635954,0.07
241,VZ,2024-01-01,34.75700758917093,2025-01-01,39.333018673390626,4.576011084219694,13.165722257532373,0.3
47,CDNS,2024-01-01,269.1600036621094,2025-01-01,304.8399963378906,35.67999267578125,13.256052976047739,0.15
109,HCA,2024-01-01,267.4109461876634,2025-01-01,302.8900146484375,35.4790684607741,13.26762010552688,0.14
182,PCG,2024-01-01,17.827615049163175,2025-01-01,20.270000457763672,2.4423854086004972,13.700012042357523,0.08
93,FDX,2024-01-01,246.45105197971665,2025-01-01,281.5400085449219,35.08895656520522,14.237698026987161,0.12
53,CME,2024-01-01,202.26444974823207,2025-01-01,231.3460471097516,29.081597361519528,14.378007305643054,0.15
151,MMC,2024-01-01,185.85046773266797,2025-01-01,212.85602802151777,27.005560288849807,14.53080028170566,0.19
159,MSFT,2024-01-01,370.3424699982971,2025-01-01,424.67848110976337,54.33601111146629,14.671828243656782,5.84
212,SPGI,2024-01-01,435.0915955556948,2025-01-01,498.95039345467893,63.85879789898411,14.677092950376174,0.27
138,LOW,2024-01-01,215.19580284455748,2025-01-01,247.1899514020406,31.99414855748313,14.867459371683694,0.25
229,TXN,2024-01-01,162.9673934690933,2025-01-01,187.9302847298071,24.962891260713803,15.317721373170274,0.31
91,FAST,2024-01-01,62.502728138466665,2025-01-01,72.32284423611482,9.820116097648153,15.711499945879105,0.08
244,WM,2024-01-01,175.20734105702593,2025-01-01,202.8699951171875,27.66265406016157,15.788524552266345,0.15
37,BMY,2024-01-01,48.4390575349116,2025-01-01,56.30847209013593,7.869414555224331,16.24601087573306,0.21
110,HD,2024-01-01,335.98064356844844,2025-01-01,392.1300048828125,56.14936131436406,16.712082195569966,0.7
238,VRSK,2024-01-01,236.40749314839059,2025-01-01,275.9800109863281,39.57251783793754,16.73911317738912,0.07
51,CL,2024-01-01,77.4725385608749,2025-01-01,90.54664059640658,13.07410203553168,16.875788864538833,0.14
235,USB,2024-01-01,41.21364749119969,2025-01-01,48.18000030517578,6.966352813976094,16.90302421173378,0.13
79,DUK,2024-01-01,91.88304460193119,2025-01-01,107.48516165260806,15.602117050676867,16.980409299964517,0.15
186,PG,2024-01-01,141.93931088900806,2025-01-01,167.07124155500148,25.131930665993423,17.706110103384802,0.71
60,CPRT,2024-01-01,48.79999923706055,2025-01-01,57.900001525878906,9.10000228881836,18.647545965343944,0.1
