Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
AAPL,2025-01-01,229.74,-7.61,241.79,5.25,-2.36,0,0.0,6.92,0.0,M1:-7.61% -> M2:-2.36%
NVDA,2025-01-01,114.75,-15.62,123.51,7.63,7.63,1,-15.62,5.93,-9270.41,M1:-15.62% [SELL] -> M2:7.63%
MSFT,2025-01-01,410.78,-3.27,398.82,-2.91,-6.18,0,0.0,5.84,0.0,M1:-3.27% -> M2:-6.18%
AMZN,2025-01-01,234.06,5.42,213.35,-8.85,-3.43,0,0.0,4.25,0.0,M1:5.42% -> M2:-3.43%
GOOGL,2025-01-01,200.69,5.27,171.93,-14.33,-9.06,0,0.0,4.23,0.0,M1:5.27% -> M2:-9.06%
GOOG,2025-01-01,202.21,5.6,173.73,-14.08,-8.48,0,0.0,4.23,0.0,M1:5.6% -> M2:-8.48%
META,2025-01-01,675.91,14.62,673.68,-0.33,14.29,0,0.0,2.66,0.0,M1:14.62% -> M2:14.29%
TSLA,2025-01-01,386.68,-0.88,300.34,-22.33,0.0,1,-23.21,2.43,-5644.09,M1:-0.88% -> M2:-23.21% [SELL]
AVGO,2025-01-01,215.46,-8.77,204.0,-5.32,0.0,1,-14.09,1.86,-2614.1,M1:-8.77% -> M2:-14.09% [SELL]
BRK-B,2025-01-01,461.3,1.17,516.22,11.91,13.08,0,0.0,1.76,0.0,M1:1.17% -> M2:13.08%
WMT,2025-01-01,96.77,7.55,97.98,1.25,8.8,0,0.0,1.33,0.0,M1:7.55% -> M2:8.8%
LLY,2025-01-01,802.89,3.03,912.8,13.69,16.72,0,0.0,1.24,0.0,M1:3.03% -> M2:16.72%
JPM,2025-01-01,261.83,9.24,264.0,0.83,10.07,0,0.0,1.2,0.0,M1:9.24% -> M2:10.07%
V,2025-01-01,339.43,6.99,363.0,6.94,13.93,0,0.0,1.11,0.0,M1:6.99% -> M2:13.93%
MA,2025-01-01,552.64,4.59,577.33,4.47,9.06,0,0.0,0.87,0.0,M1:4.59% -> M2:9.06%
ORCL,2025-01-01,163.2,-2.92,166.95,2.3,-0.62,0,0.0,0.85,0.0,M1:-2.92% -> M2:-0.62%
XOM,2025-01-01,105.69,-1.52,111.7,5.69,4.17,0,0.0,0.84,0.0,M1:-1.52% -> M2:4.17%
UNH,2025-01-01,542.0,6.69,474.37,-12.48,-5.79,0,0.0,0.83,0.0,M1:6.69% -> M2:-5.79%
COST,2025-01-01,971.32,6.27,1051.74,8.28,14.55,0,0.0,0.76,0.0,M1:6.27% -> M2:14.55%
PG,2025-01-01,165.47,-0.96,173.58,4.9,3.94,0,0.0,0.71,0.0,M1:-0.96% -> M2:3.94%
HD,2025-01-01,406.12,3.57,396.95,-2.26,1.31,0,0.0,0.7,0.0,M1:3.57% -> M2:1.31%
NFLX,2025-01-01,973.0,8.65,983.0,1.03,9.68,0,0.0,0.7,0.0,M1:8.65% -> M2:9.68%
JNJ,2025-01-01,150.79,4.66,164.96,9.4,14.06,0,0.0,0.63,0.0,M1:4.66% -> M2:14.06%
BAC,2025-01-01,45.14,2.92,46.21,2.37,5.29,0,0.0,0.61,0.0,M1:2.92% -> M2:5.29%
CRM,2025-01-01,335.97,-0.1,301.0,-10.41,0.0,1,-10.51,0.59,-621.86,M1:-0.1% -> M2:-10.51% [SELL]
ABBV,2025-01-01,183.18,3.5,209.98,14.63,18.13,0,0.0,0.56,0.0,M1:3.5% -> M2:18.13%
KO,2025-01-01,63.18,1.33,70.24,11.17,12.5,0,0.0,0.48,0.0,M1:1.33% -> M2:12.5%
TMUS,2025-01-01,235.15,6.19,269.29,14.52,20.71,0,0.0,0.46,0.0,M1:6.19% -> M2:20.71%
CVX,2025-01-01,147.37,2.43,159.46,8.2,10.63,0,0.0,0.46,0.0,M1:2.43% -> M2:10.63%
MRK,2025-01-01,98.13,-2.14,91.78,-6.47,-8.61,0,0.0,0.45,0.0,M1:-2.14% -> M2:-8.61%
WFC,2025-01-01,76.85,9.58,78.86,2.62,12.2,0,0.0,0.42,0.0,M1:9.58% -> M2:12.2%
CSCO,2025-01-01,60.19,2.24,64.39,6.98,9.22,0,0.0,0.42,0.0,M1:2.24% -> M2:9.22%
ACN,2025-01-01,381.14,7.94,349.42,-8.32,-0.38,0,0.0,0.41,0.0,M1:7.94% -> M2:-0.38%
NOW,2025-01-01,1006.5,-6.24,936.01,-7.0,0.0,1,-13.24,0.41,-536.3,M1:-6.24% -> M2:-13.24% [SELL]
AXP,2025-01-01,312.19,4.31,301.43,-3.45,0.86,0,0.0,0.38,0.0,M1:4.31% -> M2:0.86%
MCD,2025-01-01,285.37,-1.35,308.11,7.97,6.62,0,0.0,0.38,0.0,M1:-1.35% -> M2:6.62%
PEP,2025-01-01,149.76,-2.04,151.35,1.06,-0.98,0,0.0,0.38,0.0,M1:-2.04% -> M2:-0.98%
BX,2025-01-01,170.97,-0.4,162.32,-5.06,-5.46,0,0.0,0.37,0.0,M1:-0.4% -> M2:-5.46%
IBM,2025-01-01,250.73,13.79,254.74,1.6,15.39,0,0.0,0.37,0.0,M1:13.79% -> M2:15.39%
DIS,2025-01-01,111.35,-0.31,114.07,2.44,2.13,0,0.0,0.37,0.0,M1:-0.31% -> M2:2.13%
LIN,2025-01-01,445.03,5.77,469.1,5.41,11.18,0,0.0,0.36,0.0,M1:5.77% -> M2:11.18%
TMO,2025-01-01,593.13,14.25,530.92,-10.49,3.76,0,0.0,0.36,0.0,M1:14.25% -> M2:3.76%
MS,2025-01-01,135.81,8.07,133.33,-1.83,6.24,0,0.0,0.36,0.0,M1:8.07% -> M2:6.24%
ABT,2025-01-01,126.65,11.98,138.17,9.1,21.08,0,0.0,0.36,0.0,M1:11.98% -> M2:21.08%
ADBE,2025-01-01,437.8,-2.22,440.65,0.65,-1.57,0,0.0,0.35,0.0,M1:-2.22% -> M2:-1.57%
AMD,2025-01-01,113.88,-6.88,101.52,-10.85,0.0,1,-17.73,0.35,-617.09,M1:-6.88% -> M2:-17.73% [SELL]
PM,2025-01-01,128.91,6.24,154.82,20.1,26.34,0,0.0,0.35,0.0,M1:6.24% -> M2:26.34%
ISRG,2025-01-01,564.87,8.38,573.78,1.58,9.96,0,0.0,0.34,0.0,M1:8.38% -> M2:9.96%
PLTR,2025-01-01,80.12,5.14,88.55,10.52,15.66,0,0.0,0.33,0.0,M1:5.14% -> M2:15.66%
GE,2025-01-01,200.0,19.1,207.09,3.55,22.65,0,0.0,0.33,0.0,M1:19.1% -> M2:22.65%
INTU,2025-01-01,600.4,-5.59,617.86,2.91,-2.68,0,0.0,0.32,0.0,M1:-5.59% -> M2:-2.68%
GS,2025-01-01,622.91,8.06,622.4,-0.08,7.98,0,0.0,0.32,0.0,M1:8.06% -> M2:7.98%
CAT,2025-01-01,364.14,-0.01,347.63,-4.53,-4.54,0,0.0,0.32,0.0,M1:-0.01% -> M2:-4.54%
TXN,2025-01-01,183.03,-2.61,199.01,8.73,6.12,0,0.0,0.31,0.0,M1:-2.61% -> M2:6.12%
QCOM,2025-01-01,167.97,8.94,158.99,-5.35,3.59,0,0.0,0.31,0.0,M1:8.94% -> M2:3.59%
VZ,2025-01-01,39.31,-0.05,42.96,9.29,9.24,0,0.0,0.3,0.0,M1:-0.05% -> M2:9.24%
BKNG,2025-01-01,4660.64,-6.42,5016.01,7.62,1.2,0,0.0,0.3,0.0,M1:-6.42% -> M2:1.2%
DHR,2025-01-01,218.0,-5.57,209.46,-3.92,-9.49,0,0.0,0.3,0.0,M1:-5.57% -> M2:-9.49%
T,2025-01-01,23.69,5.1,27.27,15.11,20.21,0,0.0,0.29,0.0,M1:5.1% -> M2:20.21%
BLK,2025-01-01,1048.76,2.38,979.84,-6.57,-4.19,0,0.0,0.29,0.0,M1:2.38% -> M2:-4.19%
RTX,2025-01-01,127.85,9.86,134.34,5.08,14.94,0,0.0,0.28,0.0,M1:9.86% -> M2:14.94%
SPGI,2025-01-01,516.98,3.61,533.74,3.24,6.85,0,0.0,0.27,0.0,M1:3.61% -> M2:6.85%
PFE,2025-01-01,26.3,-0.04,26.37,0.27,0.23,0,0.0,0.27,0.0,M1:-0.04% -> M2:0.23%
HON,2025-01-01,221.32,-2.01,213.72,-3.43,-5.44,0,0.0,0.27,0.0,M1:-2.01% -> M2:-5.44%
NEE,2025-01-01,69.92,-2.73,70.05,0.19,-2.54,0,0.0,0.27,0.0,M1:-2.73% -> M2:-2.54%
CMCSA,2025-01-01,33.11,-11.66,35.87,8.34,8.34,1,-11.66,0.26,-306.8,M1:-11.66% [SELL] -> M2:8.34%
ANET,2025-01-01,109.67,-1.48,93.07,-15.14,0.0,1,-16.62,0.26,-424.94,M1:-1.48% -> M2:-16.62% [SELL]
AMGN,2025-01-01,284.61,9.43,307.34,7.99,17.42,0,0.0,0.25,0.0,M1:9.43% -> M2:17.42%
PGR,2025-01-01,247.52,4.9,282.38,14.08,18.98,0,0.0,0.25,0.0,M1:4.9% -> M2:18.98%
LOW,2025-01-01,256.04,3.58,248.68,-2.87,0.71,0,0.0,0.25,0.0,M1:3.58% -> M2:0.71%
SYK,2025-01-01,389.44,7.44,390.4,0.25,7.69,0,0.0,0.25,0.0,M1:7.44% -> M2:7.69%
UNP,2025-01-01,240.91,5.33,248.34,3.08,8.41,0,0.0,0.25,0.0,M1:5.33% -> M2:8.41%
TJX,2025-01-01,123.59,1.85,124.43,0.68,2.53,0,0.0,0.25,0.0,M1:1.85% -> M2:2.53%
KKR,2025-01-01,161.81,8.47,137.6,-14.96,-6.49,0,0.0,0.25,0.0,M1:8.47% -> M2:-6.49%
SCHW,2025-01-01,81.02,9.29,79.9,-1.38,7.91,0,0.0,0.24,0.0,M1:9.29% -> M2:7.91%
ETN,2025-01-01,317.34,-5.18,294.98,-7.05,0.0,1,-12.23,0.24,-294.02,M1:-5.18% -> M2:-12.23% [SELL]
AMAT,2025-01-01,174.92,6.6,159.73,-8.68,-2.08,0,0.0,0.24,0.0,M1:6.6% -> M2:-2.08%
BA,2025-01-01,174.11,-2.36,177.02,1.67,-0.69,0,0.0,0.24,0.0,M1:-2.36% -> M2:-0.69%
BSX,2025-01-01,101.41,12.65,104.85,3.39,16.04,0,0.0,0.24,0.0,M1:12.65% -> M2:16.04%
C,2025-01-01,77.96,10.66,80.0,2.62,13.28,0,0.0,0.24,0.0,M1:10.66% -> M2:13.28%
UBER,2025-01-01,65.3,5.0,77.06,18.01,23.01,0,0.0,0.23,0.0,M1:5.0% -> M2:23.01%
COP,2025-01-01,97.96,-1.25,99.75,1.83,0.58,0,0.0,0.22,0.0,M1:-1.25% -> M2:0.58%
PANW,2025-01-01,181.56,-1.59,191.5,5.47,3.88,0,0.0,0.22,0.0,M1:-1.59% -> M2:3.88%
ADP,2025-01-01,303.3,3.22,316.01,4.19,7.41,0,0.0,0.22,0.0,M1:3.22% -> M2:7.41%
DE,2025-01-01,464.15,8.93,484.07,4.29,13.22,0,0.0,0.21,0.0,M1:8.93% -> M2:13.22%
FI,2025-01-01,214.41,3.58,235.47,9.82,13.4,0,0.0,0.21,0.0,M1:3.58% -> M2:13.4%
BMY,2025-01-01,58.79,4.4,59.75,1.63,6.03,0,0.0,0.21,0.0,M1:4.4% -> M2:6.03%
LMT,2025-01-01,455.44,-5.58,452.87,-0.56,-6.14,0,0.0,0.21,0.0,M1:-5.58% -> M2:-6.14%
GILD,2025-01-01,97.03,4.76,114.89,18.41,23.17,0,0.0,0.21,0.0,M1:4.76% -> M2:23.17%
NKE,2025-01-01,74.52,-1.78,79.99,7.34,5.56,0,0.0,0.21,0.0,M1:-1.78% -> M2:5.56%
CB,2025-01-01,269.3,-2.96,286.57,6.41,3.45,0,0.0,0.2,0.0,M1:-2.96% -> M2:3.45%
UPS,2025-01-01,110.74,-11.58,119.82,8.2,8.2,1,-11.58,0.19,-223.45,M1:-11.58% [SELL] -> M2:8.2%
ADI,2025-01-01,208.38,-2.88,231.84,11.26,8.38,0,0.0,0.19,0.0,M1:-2.88% -> M2:8.38%
MMC,2025-01-01,216.0,1.48,237.05,9.75,11.23,0,0.0,0.19,0.0,M1:1.48% -> M2:11.23%
MDT,2025-01-01,90.27,12.32,92.67,2.66,14.98,0,0.0,0.19,0.0,M1:12.32% -> M2:14.98%
VRTX,2025-01-01,463.36,14.94,477.82,3.12,18.06,0,0.0,0.18,0.0,M1:14.94% -> M2:18.06%
MU,2025-01-01,88.65,4.32,95.81,8.08,12.4,0,0.0,0.18,0.0,M1:4.32% -> M2:12.4%
SBUX,2025-01-01,105.15,15.47,116.04,10.36,25.83,0,0.0,0.18,0.0,M1:15.47% -> M2:25.83%
PLD,2025-01-01,116.03,9.06,124.16,7.01,16.07,0,0.0,0.17,0.0,M1:9.06% -> M2:16.07%
GEV,2025-01-01,350.34,5.27,334.7,-4.46,0.81,0,0.0,0.17,0.0,M1:5.27% -> M2:0.81%
LRCX,2025-01-01,78.73,8.61,77.94,-1.0,7.61,0,0.0,0.17,0.0,M1:8.61% -> M2:7.61%
MO,2025-01-01,52.0,-0.88,55.8,7.31,6.43,0,0.0,0.16,0.0,M1:-0.88% -> M2:6.43%
SO,2025-01-01,82.82,0.79,89.61,8.2,8.99,0,0.0,0.16,0.0,M1:0.79% -> M2:8.99%
EQIX,2025-01-01,906.44,-2.97,912.07,0.62,-2.35,0,0.0,0.16,0.0,M1:-2.97% -> M2:-2.35%
CRWD,2025-01-01,386.95,11.67,399.0,3.11,14.78,0,0.0,0.16,0.0,M1:11.67% -> M2:14.78%
PYPL,2025-01-01,86.5,0.78,71.1,-17.8,0.0,1,-17.02,0.16,-267.48,M1:0.78% -> M2:-17.02% [SELL]
SHW,2025-01-01,351.66,3.59,364.27,3.59,7.18,0,0.0,0.16,0.0,M1:3.59% -> M2:7.18%
ICE,2025-01-01,158.84,5.87,172.91,8.86,14.73,0,0.0,0.16,0.0,M1:5.87% -> M2:14.73%
CME,2025-01-01,238.62,3.14,253.9,6.4,9.54,0,0.0,0.15,0.0,M1:3.14% -> M2:9.54%
AMT,2025-01-01,184.82,0.4,205.0,10.92,11.32,0,0.0,0.15,0.0,M1:0.4% -> M2:11.32%
APH,2025-01-01,69.03,-1.6,66.65,-3.45,-5.05,0,0.0,0.15,0.0,M1:-1.6% -> M2:-5.05%
ELV,2025-01-01,396.05,6.36,400.0,1.0,7.36,0,0.0,0.15,0.0,M1:6.36% -> M2:7.36%
TT,2025-01-01,355.57,-4.17,356.38,0.23,-3.94,0,0.0,0.15,0.0,M1:-4.17% -> M2:-3.94%
MCO,2025-01-01,491.32,3.66,505.0,2.78,6.44,0,0.0,0.15,0.0,M1:3.66% -> M2:6.44%
CMG,2025-01-01,56.36,-7.29,55.02,-2.38,-9.67,0,0.0,0.15,0.0,M1:-7.29% -> M2:-9.67%
INTC,2025-01-01,18.97,-6.23,25.0,31.79,25.56,0,0.0,0.15,0.0,M1:-6.23% -> M2:25.56%
KLAC,2025-01-01,725.75,14.61,714.53,-1.55,13.06,0,0.0,0.15,0.0,M1:14.61% -> M2:13.06%
ABNB,2025-01-01,129.19,-2.03,140.34,8.63,6.6,0,0.0,0.15,0.0,M1:-2.03% -> M2:6.6%
DUK,2025-01-01,110.95,3.22,117.32,5.74,8.96,0,0.0,0.15,0.0,M1:3.22% -> M2:8.96%
PH,2025-01-01,687.03,7.59,674.35,-1.85,5.74,0,0.0,0.15,0.0,M1:7.59% -> M2:5.74%
CDNS,2025-01-01,292.32,-4.11,253.01,-13.45,0.0,1,-17.56,0.15,-261.21,M1:-4.11% -> M2:-17.56% [SELL]
WM,2025-01-01,218.91,7.91,233.59,6.71,14.62,0,0.0,0.15,0.0,M1:7.91% -> M2:14.62%
DELL,2025-01-01,99.38,-13.43,103.64,4.29,4.29,1,-13.43,0.15,-195.94,M1:-13.43% [SELL] -> M2:4.29%
