ticker,shares,cost_basis,current_value,current_price,last_update_date,unrealized_gain_loss,unrealized_gain_loss_pct,weight,dividend_income,sector,asset_class
AAPL,226.34,103.83055045072858,39500.8568,174.52,2021-12-31,15999.850010982092,68.08155137616858,11.517808624359684,0,,
NVDA,1153.5600000000002,9.534622378805677,33868.52160000001,29.36,2021-12-31,22869.76260870493,207.9303912996467,9.875511109895529,0,,
MSFT,101.88,191.0381802057903,33331.0608,327.16,2021-12-31,13868.091000634086,71.25372511797195,9.71879626523182,0,,
AMZN,145.68999999999997,154.96977136896834,24289.436799999996,166.72,2021-12-31,1711.8908092550046,7.582271385724313,7.082405479768718,0,,
GOOGL,167.49000000000004,83.35030355960902,24145.358400000005,144.16,2021-12-31,10185.016056801087,72.95677861197248,7.040394557157444,0,,
GOOG,167.68000000000004,85.26665007527535,24145.920000000006,144.0,2021-12-31,9848.408115377832,68.88197187631214,7.040558310600975,0,,
META,45.33,274.17601974845246,15175.124099999999,334.77,2021-12-31,2746.7251248026496,22.10039386637115,4.42481984934333,0,,
TSLA,47.85,157.8656806917046,16855.641,352.26,2021-12-31,9301.768178901933,123.13906256035942,4.914831297505189,0,,
AVGO,170.68000000000004,32.70068215344271,10583.866800000002,62.01,2021-12-31,5002.514370050399,89.62907167816259,3.0860837506723184,0,,
BRK-B,33.599999999999994,213.5661121739924,10046.399999999998,299.0,2021-12-31,2870.5786309538544,40.003485083066245,2.9293671565060104,0,,
WMT,165.02999999999997,44.78230369117396,7606.2327,46.09,2021-12-31,215.8091218455629,2.9201184419723822,2.217853983130478,0,,
LLY,26.54,172.71018136115833,7102.6348,267.62,2021-12-31,2518.906586674858,54.95322736091251,2.0710130104093643,0,,
JPM,47.31,104.52410987643788,6852.380400000001,144.84,2021-12-31,1907.344761745725,38.57090021739594,1.9980428897560842,0,,
V,17.540000000000003,194.16009130094935,3708.1314000000007,211.41,2021-12-31,302.5633985813488,8.884374015004559,1.0812309220386065,0,,
MA,8.21,313.239374779309,2894.025,352.5,2021-12-31,322.32973306187296,12.533745238238911,0.8438507112107132,0,,
ORCL,53.4,61.92039642098456,4443.947999999999,83.22,2021-12-31,1137.398831119424,34.39836436802443,1.2957830980670262,0,,
XOM,71.65999999999998,36.96881424428747,3909.052999999999,54.55,2021-12-31,1259.8677712543595,47.556801902103814,1.1398163990326176,0,,
UNH,9.889999999999997,297.7301616239671,4735.925399999998,478.86,2021-12-31,1791.3741015389646,60.83691265542646,1.380918968229673,0,,
COST,7.99,377.09390536930596,4342.3253,543.47,2021-12-31,1329.3449960992457,44.120600270045216,1.2661515683911762,0,,
PG,26.99,115.46194144690845,4074.4103999999998,150.96,2021-12-31,958.0926003479408,30.74438044973825,1.1880319326212891,0,,
HD,10.520000000000001,240.38918864388552,4018.8504000000003,382.02,2021-12-31,1489.9561354663242,58.91729663679987,1.171831538528333,0,,
NFLX,5.859999999999999,535.8404187678462,3530.2984,602.44,2021-12-31,390.27354602042124,12.428995443325856,1.0293777060067009,0,,
JNJ,19.89,130.73745970526218,3094.2873,155.57,2021-12-31,493.91922646233525,18.994204377781948,0.9022439470271602,0,,
BAC,74.00999999999999,28.374534783943822,3024.0485999999996,40.86,2021-12-31,924.0492806403176,44.002360958958434,0.8817634822939543,0,,
CRM,10.93,204.70868725892007,2762.2296,252.72,2021-12-31,524.7636482600037,23.453480838531377,0.8054213120091512,0,,
ABBV,26.66,89.33249984549161,3191.7352,119.72,2021-12-31,810.1307541191936,34.01617575581813,0.9306581727926566,0,,
KO,47.29,42.31229508670874,2539.473,53.7,2021-12-31,538.5245653495438,26.913465435885563,0.7404691034633091,0,,
TMUS,2.36,126.4256055403612,267.6712,113.42,2021-12-31,-30.693229075252418,-10.287160962981643,0.07804857680587592,0,,
CVX,23.659999999999997,75.0101982384861,2445.0244,103.34,2021-12-31,670.2831096774189,37.76793346345071,0.7129294248900914,0,,
MRK,29.0,66.4740773184824,2021.59,69.71,2021-12-31,93.84175776401025,4.867946742628771,0.5894628274726257,0,,
WFC,47.870000000000005,29.038734254910445,2109.6309,44.07,2021-12-31,719.546691217437,51.76281312105664,0.6151341247422178,0,,
CSCO,41.410000000000004,41.11897293627962,2374.4494000000004,57.34,2021-12-31,671.7127307086612,39.44900834186068,0.6923509005360532,0,,
ACN,5.98,218.46205212469758,2369.3358,396.21,2021-12-31,1062.9327282943082,81.36330595935458,0.6908598577852657,0,,
NOW,3.21,417.37569026355095,2083.6431000000002,649.11,2021-12-31,743.8671342540017,55.52175537346725,0.6075565041229067,0,,
AXP,10.41,98.44339888876755,1633.3290000000002,156.9,2021-12-31,608.53321756793,59.380925253589965,0.4762522225243676,0,,
MCD,8.29,180.6587363534075,2063.2980999999995,248.89,2021-12-31,565.6371756302515,37.768039909853776,0.6016242323838642,0,,
PEP,13.280000000000003,122.24928233461551,2097.708800000001,157.96,2021-12-31,474.23833059630647,29.211392478884797,0.6116578339140029,0,,
BX,18.34,53.50353436375972,2117.353,115.45,2021-12-31,1136.0981797686468,115.78013746732839,0.6173857637491511,0,,
IBM,13.1,94.69864506858818,1523.661,116.31,2021-12-31,283.108749601495,22.82118705685725,0.44427481396809854,0,,
DIS,1.0699999999999998,170.09699837306985,163.70999999999998,153.0,2021-12-31,-18.293788259184737,-10.051322796167982,0.04773517849096184,0,,
LIN,6.15,221.40887985954316,2037.8025000000002,331.35,2021-12-31,676.1378888638096,49.65524427484617,0.594190129294657,0,,
TMO,3.0899999999999994,405.8180060652104,2044.4366999999995,661.63,2021-12-31,790.4590612584996,63.03613691642934,0.5961245543215014,0,,
MS,20.759999999999998,74.35441951913164,1816.4999999999998,87.5,2021-12-31,272.9022507828272,17.67962222808553,0.5296619127043686,0,,
ABT,15.34,94.46532682752878,2030.2489999999998,132.35,2021-12-31,581.1508864657083,40.10431599060637,0.5919876513108349,0,,
ADBE,2.62,404.32165357601826,1485.6971999999998,567.06,2021-12-31,426.374467630832,40.249723205434144,0.43320518615553255,0,,
AMD,13.709999999999997,69.17848817396994,1972.8689999999997,143.9,2021-12-31,1024.431927134872,108.01264063204235,0.57525657476199,0,,
PM,18.64,59.38407388109315,1501.8247999999999,80.57,2021-12-31,394.90566285642353,35.67610764011943,0.43790773251574777,0,,
ISRG,4.909999999999998,218.60408252499806,1764.1629999999996,359.3,2021-12-31,690.8169548022595,64.36106583641363,0.5144012930923627,0,,
PLTR,11.190000000000001,21.6923237378496,203.76990000000004,18.21,2021-12-31,-38.96720262653699,-16.053253583771223,0.059415995037477534,0,,
GE,18.21,37.800600170441754,1055.0874000000001,57.94,2021-12-31,366.73847089625576,53.27798960532455,0.30764635857653694,0,,
