Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track,Total Loss $1M
PLTR,1/1/23,7.73,17.48,7.83,1.29,8.37,6.9,7.75,-7.41,14.46,86.58,15.49,7.12,19.46,25.63,15.16,-22.1,16.03,5.74,14.8,-7.67,19.93,34.66,148.22,0,0,0.33,0,M1:17.48% -> M2:18.77% -> M3:25.67% -> M4:18.26% -> M5:104.84% -> M6:111.96% -> M7:137.59% -> M8:115.49% -> M9:121.23% -> M10:113.56% -> M11:148.22%,
GE,1/1/23,63.45,22.35,66.92,5.47,75.76,13.21,78.72,3.91,80.08,1.73,86.29,7.75,90.02,4.32,91.07,1.17,87.52,-3.9,85.81,-1.95,96.43,12.38,66.44,0,0,0.33,0,M1:22.35% -> M2:27.82% -> M3:41.03% -> M4:44.94% -> M5:46.67% -> M6:54.42% -> M7:58.74% -> M8:59.91% -> M9:56.01% -> M10:54.06% -> M11:66.44%,
INTU,1/1/23,414.97,6.17,399.82,-3.65,437.34,9.38,436.92,-0.1,412.98,-5.48,447.75,8.42,505.8,12.96,540.25,6.81,506.07,-6.33,488.95,-3.38,567.06,15.98,40.78,0,0,0.32,0,M1:6.17% -> M2:2.52% -> M3:11.9% -> M4:11.8% -> M5:6.32% -> M6:14.74% -> M7:27.7% -> M8:34.51% -> M9:28.18% -> M10:24.8% -> M11:40.78%,
GS,1/1/23,338.16,3.94,329.02,-2.7,309.32,-5.99,326.31,5.49,310.12,-4.96,308.11,-0.65,338.3,9.8,317.68,-6.1,310.31,-2.32,292.29,-5.81,331.74,13.5,4.2,0,0,0.32,0,M1:3.94% -> M2:1.24% -> M3:-4.75% -> M4:0.74% -> M5:-4.22% -> M6:-4.87% -> M7:4.93% -> M8:-1.17% -> M9:-3.49% -> M10:-9.3% -> M11:4.2%,
CAT,1/1/23,243.07,5.1,233.67,-3.87,222.08,-4.96,212.93,-4.12,201.61,-5.32,238.76,18.43,266.09,11.45,277.84,4.42,265.98,-4.27,220.75,-17.01,247.03,11.9,24.92,1,-13.17,0.32,-418.74,M1:5.1% -> M2:1.23% -> M3:-3.73% -> M4:-7.85% -> M5:-13.17% [SELL] -> M6:18.43% -> M7:29.88% -> M8:34.3% -> M9:30.03% -> M10:13.02% -> M11:24.92%,
TXN,1/1/23,166.82,6.61,161.2,-3.37,174.67,8.36,158.53,-9.24,167.03,5.36,171.11,2.44,171.19,0.05,162.57,-5.04,152.55,-6.16,137.67,-9.75,147.78,7.34,7.34,1,-10.74,0.31,-329.38,M1:6.61% -> M2:3.24% -> M3:11.6% -> M4:2.36% -> M5:7.72% -> M6:10.16% -> M7:10.21% -> M8:5.17% -> M9:-0.99% -> M10:-10.74% [SELL] -> M11:7.34%,
QCOM,1/1/23,126.04,19.15,117.59,-6.7,121.38,3.22,112.03,-7.7,110.26,-1.58,114.79,4.11,126.96,10.6,112.14,-11.67,107,-4.58,105.81,-1.11,125.89,18.98,22.72,0,0,0.31,0,M1:19.15% -> M2:12.45% -> M3:15.67% -> M4:7.97% -> M5:6.39% -> M6:10.5% -> M7:21.1% -> M8:9.43% -> M9:4.85% -> M10:3.74% -> M11:22.72%,
VZ,1/1/23,36.6,7.24,33.74,-7.81,34.04,0.89,34.71,1.97,31.54,-9.13,32.94,4.44,30.93,-6.1,31.56,2.04,29.26,-7.29,32.62,11.48,35.37,8.43,19.91,1,-13.75,0.3,-415.82,M1:7.24% -> M2:-0.57% -> M3:0.32% -> M4:2.29% -> M5:-6.84% -> M6:-2.4% -> M7:-8.5% -> M8:-6.46% -> M9:-13.75% [SELL] -> M10:11.48% -> M11:19.91%,
BKNG,1/1/23,2396.14,18.81,2502.64,4.44,2616.19,4.54,2651.33,1.34,2476.05,-6.61,2664.57,7.61,2910.38,9.23,3101.56,6.57,3038.58,-2.03,2772.69,-8.75,3091.49,11.5,46.65,0,0,0.3,0,M1:18.81% -> M2:23.25% -> M3:27.79% -> M4:29.13% -> M5:22.52% -> M6:30.13% -> M7:39.36% -> M8:45.93% -> M9:43.9% -> M10:35.15% -> M11:46.65%,
DHR,1/1/23,232.96,-1.01,215.92,-7.31,219.95,1.87,210.42,-4.33,202.08,-3.96,209.25,3.55,224.65,7.36,236.06,5.08,217.59,-7.82,190.81,-12.31,221.22,15.94,7.84,1,-10.78,0.3,-320.16,M1:-1.01% -> M2:-8.32% -> M3:-6.45% -> M4:-10.78% [SELL] -> M5:-3.96% -> M6:-0.41% -> M7:6.95% -> M8:12.03% -> M9:4.21% -> M10:-8.1% -> M11:7.84%,
T,1/1/23,18.09,12.15,16.64,-8.02,17.03,2.34,15.9,-6.64,14.12,-11.19,14.3,1.27,13.29,-7.06,13.51,1.66,13.72,1.55,14.4,4.96,15.44,7.22,9.6,1,-11.36,0.29,-333.63,M1:12.15% -> M2:4.13% -> M3:6.47% -> M4:-0.17% -> M5:-11.36% [SELL] -> M6:1.27% -> M7:-5.79% -> M8:-4.13% -> M9:-2.58% -> M10:2.38% -> M11:9.6%,
BLK,1/1/23,711.63,4.68,645,-9.36,631.95,-2.02,642,1.59,631.05,-1.71,661.01,4.75,702.51,6.28,674.61,-3.97,622.1,-7.78,592.94,-4.69,723.7,22.05,22.05,1,-12.23,0.29,-350.56,M1:4.68% -> M2:-4.68% -> M3:-6.7% -> M4:-5.11% -> M5:-6.82% -> M6:-2.07% -> M7:4.21% -> M8:0.24% -> M9:-7.54% -> M10:-12.23% [SELL] -> M11:22.05%,
RTX,1/1/23,94.66,-1.05,93.38,-1.35,93.6,0.24,95.18,1.69,88.44,-7.08,93.43,5.64,83.52,-10.61,83.58,0.07,69.23,-17.17,79.13,14.3,79.21,0.1,14.4,2,-29.62,0.28,-826.2,M1:-1.05% -> M2:-2.4% -> M3:-2.16% -> M4:-0.47% -> M5:-7.55% -> M6:-1.91% -> M7:-12.52% [SELL] -> M8:0.07% -> M9:-17.1% [SELL] -> M10:14.3% -> M11:14.4%,
SPGI,1/1/23,365.53,8.94,334.49,-8.49,336.87,0.71,355.75,5.6,361.41,1.59,392.81,8.69,388.89,-1,389.06,0.04,362.98,-6.7,346.44,-4.56,413.03,19.22,24.04,0,0,0.27,0,M1:8.94% -> M2:0.45% -> M3:1.16% -> M4:6.76% -> M5:8.35% -> M6:17.04% -> M7:16.04% -> M8:16.08% -> M9:9.38% -> M10:4.82% -> M11:24.04%,
PFE,1/1/23,39.3,-13.13,36.3,-7.63,36.42,0.33,34.9,-4.17,34.49,-1.17,33.02,-4.26,32.82,-0.61,32.6,-0.67,30.14,-7.55,27.95,-7.27,26.86,-3.9,0,4,-50.03,0.27,-1344.59,M1:-13.13% [SELL] -> M2:-7.63% -> M3:-7.3% -> M4:-11.47% [SELL] -> M5:-1.17% -> M6:-5.43% -> M7:-6.04% -> M8:-6.71% -> M9:-14.26% [SELL] -> M10:-7.27% -> M11:-11.17% [SELL],
HON,1/1/23,197.63,-3.6,182.6,-7.61,182.54,-0.03,191.58,4.95,184.73,-3.58,199.12,7.79,186.18,-6.5,183.01,-1.7,178.15,-2.66,178.33,0.1,191.37,7.31,5.68,1,-11.21,0.27,-299.43,M1:-3.6% -> M2:-11.21% [SELL] -> M3:-0.03% -> M4:4.92% -> M5:1.34% -> M6:9.13% -> M7:2.63% -> M8:0.93% -> M9:-1.73% -> M10:-1.63% -> M11:5.68%,
NEE,1/1/23,69.94,-11.56,66.85,-4.42,72.69,8.74,72.14,-0.76,69.35,-3.87,70.13,1.12,69.61,-0.74,64.38,-7.51,53.61,-16.73,55.55,3.62,56.43,1.58,5.2,2,-35.73,0.27,-947.41,M1:-11.56% [SELL] -> M2:-4.42% -> M3:4.32% -> M4:3.56% -> M5:-0.31% -> M6:0.81% -> M7:0.07% -> M8:-7.44% -> M9:-24.17% [SELL] -> M10:3.62% -> M11:5.2%,
CMCSA,1/1/23,36.85,12.76,34.76,-5.67,35.82,3.05,39.89,11.36,37.58,-5.79,38.92,3.57,43.48,11.72,44.64,2.67,42.32,-5.2,39.83,-5.88,40.68,2.13,24.72,0,0,0.26,0,M1:12.76% -> M2:7.09% -> M3:10.14% -> M4:21.5% -> M5:15.71% -> M6:19.28% -> M7:31.0% -> M8:33.67% -> M9:28.47% -> M10:22.59% -> M11:24.72%,
ANET,1/1/23,31.37,2.08,34.7,10.62,41.41,19.34,40.14,-3.07,41.45,3.26,40.33,-2.7,44.38,10.04,49.44,11.4,46.13,-6.69,50.73,9.97,54.75,7.92,62.17,0,0,0.26,0,M1:2.08% -> M2:12.7% -> M3:32.04% -> M4:28.97% -> M5:32.23% -> M6:29.53% -> M7:39.57% -> M8:50.97% -> M9:44.28% -> M10:54.25% -> M11:62.17%,
AMGN,1/1/23,231.88,-4.49,216.28,-6.73,227.2,5.05,225.35,-0.81,208.46,-7.5,209.64,0.57,222.64,6.2,247.14,11,255.76,3.49,244.84,-4.27,259.94,6.17,19.9,1,-11.22,0.25,-285.79,M1:-4.49% -> M2:-11.22% [SELL] -> M3:5.05% -> M4:4.24% -> M5:-3.26% -> M6:-2.69% -> M7:3.51% -> M8:14.51% -> M9:18.0% -> M10:13.73% -> M11:19.9%,
PGR,1/1/23,131.78,4.8,139.01,5.49,138.85,-0.12,132.66,-4.46,124.87,-5.87,128.54,2.94,123.16,-4.19,130.9,6.28,135.31,3.37,155.01,14.56,160.04,3.24,26.04,0,0,0.25,0,M1:4.8% -> M2:10.29% -> M3:10.17% -> M4:5.71% -> M5:-0.16% -> M6:2.78% -> M7:-1.41% -> M8:4.87% -> M9:8.24% -> M10:22.8% -> M11:26.04%,
LOW,1/1/23,199.57,3.49,197.63,-0.97,193.42,-2.13,200.93,3.88,194.28,-3.31,217.16,11.78,226.27,4.2,225.64,-0.28,201.44,-10.73,186.79,-7.27,194.63,4.2,2.86,0,0,0.25,0,M1:3.49% -> M2:2.52% -> M3:0.39% -> M4:4.27% -> M5:0.96% -> M6:12.74% -> M7:16.94% -> M8:16.66% -> M9:5.93% -> M10:-1.34% -> M11:2.86%,
SYK,1/1/23,264.32,9.04,256.41,-2.99,279.51,9.01,294.5,5.36,270.46,-8.16,298.53,10.38,276.01,-7.54,281.31,1.92,268.22,-4.65,268.35,0.05,293,9.19,21.61,0,0,0.25,0,M1:9.04% -> M2:6.05% -> M3:15.06% -> M4:20.42% -> M5:12.26% -> M6:22.64% -> M7:15.1% -> M8:17.02% -> M9:12.37% -> M10:12.42% -> M11:21.61%,
UNP,1/1/23,192.86,-1.97,196.91,2.1,191.97,-2.51,186.82,-2.68,185.13,-0.9,195.51,5.61,222.68,13.9,214.45,-3.7,195.34,-8.91,200.34,2.56,220.03,9.83,13.33,0,0,0.25,0,M1:-1.97% -> M2:0.13% -> M3:-2.38% -> M4:-5.06% -> M5:-5.96% -> M6:-0.35% -> M7:13.55% -> M8:9.85% -> M9:0.94% -> M10:3.5% -> M11:13.33%,
TJX,1/1/23,79.39,2.84,73.97,-6.83,75.89,2.6,76.82,1.23,74.61,-2.88,82.38,10.41,84.45,2.51,90.63,7.32,86.76,-4.27,86.76,0,86.84,0.09,13.02,0,0,0.25,0,M1:2.84% -> M2:-3.99% -> M3:-1.39% -> M4:-0.16% -> M5:-3.04% -> M6:7.37% -> M7:9.88% -> M8:17.2% -> M9:12.93% -> M10:12.93% -> M11:13.02%,
KKR,1/1/23,54.62,17.66,54.59,-0.05,51.41,-5.83,52.14,1.42,50.51,-3.13,55.29,9.46,58.16,5.19,62.65,7.72,60.94,-2.73,55.23,-9.37,75.03,35.85,56.19,0,0,0.25,0,M1:17.66% -> M2:17.61% -> M3:11.78% -> M4:13.2% -> M5:10.07% -> M6:19.53% -> M7:24.72% -> M8:32.44% -> M9:29.71% -> M10:20.34% -> M11:56.19%,
SCHW,1/1/23,74.45,-7.76,75.3,1.14,51.13,-32.1,50.48,-1.27,51.86,2.73,55.16,6.36,64.03,16.08,58.24,-9.04,53.52,-8.1,50.9,-4.9,59.78,17.45,19.31,1,-38.72,0.24,-947.61,M1:-7.76% -> M2:-6.62% -> M3:-38.72% [SELL] -> M4:-1.27% -> M5:1.46% -> M6:7.82% -> M7:23.9% -> M8:14.86% -> M9:6.76% -> M10:1.86% -> M11:19.31%,
ETN,1/1/23,156.88,2.29,169.31,7.92,166.25,-1.81,163.02,-1.94,172.97,6.1,195.75,13.17,207.15,5.82,227.71,9.93,210,-7.78,205.95,-1.93,225.05,9.27,41.04,0,0,0.24,0,M1:2.29% -> M2:10.21% -> M3:8.4% -> M4:6.46% -> M5:12.56% -> M6:25.73% -> M7:31.55% -> M8:41.48% -> M9:33.7% -> M10:31.77% -> M11:41.04%,
AMAT,1/1/23,109.97,12.37,115.72,5.23,119.58,3.34,111.39,-6.85,131.82,18.34,141.96,7.69,148.76,4.79,152.62,2.59,137.17,-10.12,131.41,-4.2,148.06,12.67,45.85,0,0,0.24,0,M1:12.37% -> M2:17.6% -> M3:20.94% -> M4:14.09% -> M5:32.43% -> M6:40.12% -> M7:44.91% -> M8:47.5% -> M9:37.38% -> M10:33.18% -> M11:45.85%,
BA,1/1/23,212.11,9.93,201.47,-5.02,212.8,5.62,206.25,-3.08,206.46,0.1,210.5,1.96,237.55,12.85,226,-4.86,191.47,-15.28,189.69,-0.93,231.77,22.18,23.47,0,0,0.24,0,M1:9.93% -> M2:4.91% -> M3:10.53% -> M4:7.45% -> M5:7.55% -> M6:9.51% -> M7:22.36% -> M8:17.5% -> M9:2.22% -> M10:1.29% -> M11:23.47%,
BSX,1/1/23,46.62,0.3,46.76,0.3,49.98,6.89,52.2,4.44,51.3,-1.72,53.72,4.72,51.57,-4,54.26,5.22,52.49,-3.26,51.29,-2.29,55.92,9.03,19.63,0,0,0.24,0,M1:0.3% -> M2:0.6% -> M3:7.49% -> M4:11.93% -> M5:10.21% -> M6:14.93% -> M7:10.93% -> M8:16.15% -> M9:12.89% -> M10:10.6% -> M11:19.63%,
C,1/1/23,47.17,12.66,46.64,-1.12,43.57,-6.58,44.74,2.69,41.75,-6.68,43.06,3.14,44.22,2.69,39.31,-11.1,38.74,-1.45,37.37,-3.54,44.04,17.85,8.56,0,0,0.24,0,M1:12.66% -> M2:11.54% -> M3:4.96% -> M4:7.65% -> M5:0.97% -> M6:4.11% -> M7:6.8% -> M8:-4.3% -> M9:-5.75% -> M10:-9.29% -> M11:8.56%,
UBER,1/1/23,30.88,21.72,33.43,8.26,31.5,-5.77,32,1.59,37.5,17.19,43.17,15.12,48.67,12.74,47.51,-2.38,45.57,-4.08,43.25,-5.09,56.67,31.03,90.33,0,0,0.23,0,M1:21.72% -> M2:29.98% -> M3:24.21% -> M4:25.8% -> M5:42.99% -> M6:58.11% -> M7:70.85% -> M8:68.47% -> M9:64.39% -> M10:59.3% -> M11:90.33%,
COP,1/1/23,112.34,3.56,96.97,-13.68,98.89,1.98,95.55,-3.38,94.14,-1.48,98.87,5.02,111.53,12.8,114.63,2.78,115.44,0.71,114.71,-0.63,111,-3.23,14.57,1,-10.12,0.22,-224.03,M1:3.56% -> M2:-10.12% [SELL] -> M3:1.98% -> M4:-1.4% -> M5:-2.88% -> M6:2.14% -> M7:14.94% -> M8:17.72% -> M9:18.43% -> M10:17.8% -> M11:14.57%,
PANW,1/1/23,78.68,11.35,93.44,18.76,99,5.95,90.33,-8.76,105.5,16.79,127.55,20.9,124.94,-2.05,121.62,-2.66,117.5,-3.39,122.5,4.26,146.15,19.31,80.46,0,0,0.22,0,M1:11.35% -> M2:30.11% -> M3:36.06% -> M4:27.3% -> M5:44.09% -> M6:64.99% -> M7:62.94% -> M8:60.28% -> M9:56.89% -> M10:61.15% -> M11:80.46%,
ADP,1/1/23,215.95,-6.26,210.63,-2.46,210.28,-0.17,210.94,0.31,202.44,-4.03,211.19,4.32,239.29,13.31,246.58,3.05,233.99,-5.11,209.11,-10.63,223.35,6.81,11.75,1,-12.61,0.22,-271.79,M1:-6.26% -> M2:-8.72% -> M3:-8.89% -> M4:-8.58% -> M5:-12.61% [SELL] -> M6:4.32% -> M7:17.63% -> M8:20.68% -> M9:15.57% -> M10:4.94% -> M11:11.75%,
DE,1/1/23,410.24,-1.39,406.65,-0.88,402.76,-0.96,370.49,-8.01,340.53,-8.09,393.42,15.53,421.91,7.24,405.59,-3.87,372.2,-8.23,358.15,-3.77,358.18,0.01,-1.18,1,-11.24,0.21,-237.52,M1:-1.39% -> M2:-2.27% -> M3:-3.23% -> M4:-11.24% [SELL] -> M5:-8.09% -> M6:7.44% -> M7:14.68% -> M8:10.81% -> M9:2.58% -> M10:-1.19% -> M11:-1.18%,
FI,1/1/23,105.94,4.15,114.74,8.31,112.57,-1.89,121.66,8.07,112.1,-7.86,125.69,12.12,125.96,0.21,122.22,-2.97,112.09,-8.29,114.08,1.78,129.97,13.93,27.56,0,0,0.21,0,M1:4.15% -> M2:12.46% -> M3:10.57% -> M4:18.64% -> M5:10.78% -> M6:22.9% -> M7:23.11% -> M8:20.14% -> M9:11.85% -> M10:13.63% -> M11:27.56%,
BMY,1/1/23,66.83,2.44,62.95,-5.81,63.25,0.48,62.15,-1.74,59.55,-4.18,59.07,-0.81,58.08,-1.68,57.63,-0.77,54.07,-6.18,48.83,-9.69,46.51,-4.75,-4.75,2,-27.94,0.21,-584.49,M1:2.44% -> M2:-3.37% -> M3:-2.89% -> M4:-4.63% -> M5:-8.81% -> M6:-9.62% -> M7:-11.3% [SELL] -> M8:-0.77% -> M9:-6.95% -> M10:-16.64% [SELL] -> M11:-4.75%,
LMT,1/1/23,435.6,-4.32,448.54,2.97,448.28,-0.06,440.74,-1.68,425.16,-3.53,438.9,3.23,426.53,-2.82,432.53,1.41,392.81,-9.18,438.31,11.58,433.76,-1.04,10.54,1,-13.98,0.21,-291.55,M1:-4.32% -> M2:-1.35% -> M3:-1.41% -> M4:-3.09% -> M5:-6.62% -> M6:-3.39% -> M7:-6.21% -> M8:-4.8% -> M9:-13.98% [SELL] -> M10:11.58% -> M11:10.54%,
GILD,1/1/23,77.71,-1.26,74.32,-4.36,77.45,4.21,77.01,-0.57,72.41,-5.97,71.9,-0.7,71.74,-0.22,72.81,1.49,71.41,-1.92,75.21,5.32,73.1,-2.81,-6.79,0,0,0.21,0,M1:-1.26% -> M2:-5.62% -> M3:-1.41% -> M4:-1.98% -> M5:-7.95% -> M6:-8.65% -> M7:-8.87% -> M8:-7.38% -> M9:-9.3% -> M10:-3.98% -> M11:-6.79%,
NKE,1/1/23,123.51,7.89,113.9,-7.78,118.64,4.16,122.92,3.61,100.89,-17.92,107.91,6.96,106.88,-0.95,99.08,-7.3,93.79,-5.34,99.98,6.6,107.56,7.58,7.55,1,-10.04,0.21,-206.87,M1:7.89% -> M2:0.11% -> M3:4.27% -> M4:7.88% -> M5:-10.04% [SELL] -> M6:6.96% -> M7:6.01% -> M8:-1.29% -> M9:-6.63% -> M10:-0.03% -> M11:7.55%,
CB,1/1/23,211.14,-1.09,203.77,-3.49,189.51,-7,196.14,3.5,182.38,-7.02,187.85,3,200.89,6.94,198.32,-1.28,203.49,2.61,212.23,4.3,224.48,5.77,17.82,1,-11.58,0.2,-229.44,M1:-1.09% -> M2:-4.58% -> M3:-11.58% [SELL] -> M4:3.5% -> M5:-3.52% -> M6:-0.52% -> M7:6.42% -> M8:5.14% -> M9:7.75% -> M10:12.05% -> M11:17.82%,
UPS,1/1/23,167.05,5.97,166.01,-0.62,175.96,5.99,164.21,-6.68,154.32,-6.02,164.23,6.42,172.15,4.82,158.52,-7.92,144.23,-9.01,131.43,-8.87,142.95,8.77,8.77,1,-15.92,0.19,-307.19,M1:5.97% -> M2:5.35% -> M3:11.34% -> M4:4.66% -> M5:-1.36% -> M6:5.06% -> M7:9.88% -> M8:1.96% -> M9:-7.05% -> M10:-15.92% [SELL] -> M11:8.77%,
ADI,1/1/23,164.61,3.48,177.47,7.81,189.64,6.86,174.47,-8,172.99,-0.85,188.13,8.75,191.68,1.89,177.1,-7.61,170.53,-3.71,153.44,-10.02,178.1,16.07,14.67,0,0,0.19,0,M1:3.48% -> M2:11.29% -> M3:18.15% -> M4:10.15% -> M5:9.3% -> M6:18.05% -> M7:19.94% -> M8:12.33% -> M9:8.62% -> M10:-1.4% -> M11:14.67%,
MMC,1/1/23,168.36,4.58,157.11,-6.68,161.1,2.54,175.54,8.96,169.42,-3.49,182.01,7.43,184.34,1.28,191.57,3.92,185.3,-3.27,187.1,0.97,195.34,4.4,20.64,0,0,0.19,0,M1:4.58% -> M2:-2.1% -> M3:0.44% -> M4:9.4% -> M5:5.91% -> M6:13.34% -> M7:14.62% -> M8:18.54% -> M9:15.27% -> M10:16.24% -> M11:20.64%,
MDT,1/1/23,78.57,7.73,77.07,-1.91,75.8,-1.65,85.69,13.05,78.15,-8.8,83.24,6.51,83.01,-0.28,78.07,-5.95,74.7,-4.32,67.62,-9.48,75.84,12.16,7.06,0,0,0.19,0,M1:7.73% -> M2:5.82% -> M3:4.17% -> M4:17.22% -> M5:8.42% -> M6:14.93% -> M7:14.65% -> M8:8.7% -> M9:4.38% -> M10:-5.1% -> M11:7.06%,
VRTX,1/1/23,321.5,11.4,289.06,-10.09,315,8.97,340.22,8.01,324.47,-4.63,348.77,7.49,351.42,0.76,352.31,0.25,346.76,-1.58,364.95,5.25,355.11,-2.7,23.13,0,0,0.18,0,M1:11.4% -> M2:1.31% -> M3:10.28% -> M4:18.29% -> M5:13.66% -> M6:21.15% -> M7:21.91% -> M8:22.16% -> M9:20.58% -> M10:25.83% -> M11:23.13%,
MU,1/1/23,59.95,19.9,57.22,-4.55,59.15,3.37,63.31,7.03,68.31,7.9,62.86,-7.98,70.49,12.14,69.7,-1.12,67.75,-2.8,66.63,-1.65,75.59,13.45,45.69,0,0,0.18,0,M1:19.9% -> M2:15.35% -> M3:18.72% -> M4:25.75% -> M5:33.65% -> M6:25.67% -> M7:37.81% -> M8:36.69% -> M9:33.89% -> M10:32.24% -> M11:45.69%,
SBUX,1/1/23,103.46,8.37,97.51,-5.75,99.29,1.83,109.01,9.79,93.58,-14.15,94.67,1.16,97.3,2.78,94.86,-2.51,87.77,-7.47,88.53,0.87,95.48,7.85,2.77,0,0,0.18,0,M1:8.37% -> M2:2.62% -> M3:4.45% -> M4:14.24% -> M5:0.09% -> M6:1.25% -> M7:4.03% -> M8:1.52% -> M9:-5.95% -> M10:-5.08% -> M11:2.77%,
