Ticker,Start_Date,Q1_Price,Q1_Percent_Change,Q2_Price,Q2_Percent_Change,Q3_Price,Q3_Percent_Change,Q4_Price,Q4_Percent_Change,Portfolio_Weight,Negative_Quarters_Impact
AAPL,2023-01-01,162.63,26.29,192.11,18.13,169.97,-11.52,186.03,9.45,6.92,-7972.89
NVDA,2023-01-01,27.49,85.24,42.5,54.6,44.01,3.55,49.23,11.86,5.93,0.0
MSFT,2023-01-01,282.03,18.16,334.61,18.64,312.67,-6.56,370.34,18.44,5.84,0.0
AMZN,2023-01-01,102.3,19.71,130.82,27.88,127.28,-2.71,151.54,19.06,4.25,0.0
GOOGL,2023-01-01,102.02,14.28,118.81,16.46,130.74,10.04,138.05,5.59,4.23,0.0
GOOG,2023-01-01,102.3,14.29,119.89,17.19,131.68,9.83,139.1,5.63,4.23,0.0
META,2023-01-01,208.05,70.04,285.61,37.28,301.59,5.6,349.98,16.04,2.66,0.0
TSLA,2023-01-01,199.91,68.74,276.49,38.31,244.81,-11.46,250.08,2.15,2.43,-2786.78
AVGO,2023-01-01,62.09,13.91,84.85,36.66,81.43,-4.03,107.76,32.33,1.86,0.0
BRK-B,2023-01-01,309.25,-0.26,340.75,10.19,349.64,2.61,356.32,1.91,1.76,0.0
WMT,2023-01-01,48.13,4.06,51.28,6.54,52.34,2.07,51.8,-1.03,1.33,0.0
LLY,2023-01-01,338.19,-5.98,460.6,36.2,530.64,15.21,575.65,8.48,1.24,0.0
JPM,2023-01-01,123.48,-3.23,140.04,13.41,139.69,-0.25,164.3,17.62,1.2,0.0
V,2023-01-01,221.82,7.83,233.87,5.43,226.64,-3.09,257.21,13.49,1.11,0.0
MA,2023-01-01,358.39,3.78,387.39,8.09,390.19,0.72,421.03,7.9,0.87,0.0
ORCL,2023-01-01,90.01,12.43,115.47,28.29,103.9,-10.02,103.0,-0.87,0.85,-855.45
XOM,2023-01-01,105.9,4.09,101.26,-4.38,111.62,10.23,96.73,-13.34,0.84,-1116.76
UNH,2023-01-01,472.31,-7.28,467.31,-1.06,496.04,6.15,518.72,4.57,0.83,0.0
COST,2023-01-01,479.32,8.6,519.74,8.43,550.44,5.91,651.05,18.28,0.76,0.0
PG,2023-01-01,141.26,-1.06,145.07,2.7,139.53,-3.82,141.94,1.73,0.71,0.0
HD,2023-01-01,282.06,-6.43,298.45,5.81,291.38,-2.37,335.98,15.31,0.7,0.0
NFLX,2023-01-01,341.83,14.68,439.76,28.65,377.48,-14.16,483.19,28.0,0.7,-989.93
JNJ,2023-01-01,145.65,-11.41,155.65,6.87,148.27,-4.74,150.91,1.78,0.63,-714.02
BAC,2023-01-01,27.09,-13.26,27.36,1.0,26.22,-4.17,32.36,23.42,0.61,-808.52
CRM,2023-01-01,197.12,46.62,209.4,6.23,199.68,-4.64,259.09,29.75,0.59,0.0
ABBV,2023-01-01,146.75,-1.41,125.41,-14.54,140.49,12.02,148.04,5.37,0.56,-811.66
KO,2023-01-01,59.05,-1.24,57.5,-2.62,53.82,-6.4,57.06,6.02,0.48,0.0
TMUS,2023-01-01,141.8,4.32,135.85,-4.2,136.83,0.72,157.47,15.08,0.46,0.0
CVX,2023-01-01,156.28,-3.79,146.09,-6.52,157.96,8.13,142.22,-9.96,0.46,0.0
MRK,2023-01-01,101.03,-3.37,109.88,8.76,99.38,-9.56,106.26,6.92,0.45,0.0
WFC,2023-01-01,35.5,-9.25,40.88,15.15,39.11,-4.33,47.55,21.58,0.42,0.0
CSCO,2023-01-01,48.98,9.65,48.68,-0.61,51.42,5.63,48.57,-5.54,0.42,0.0
ACN,2023-01-01,275.67,5.7,300.78,9.11,301.45,0.22,342.68,13.68,0.41,0.0
NOW,2023-01-01,461.53,16.82,560.85,21.52,554.75,-1.09,697.05,25.65,0.41,0.0
AXP,2023-01-01,159.98,10.12,170.55,6.61,145.72,-14.56,183.85,26.17,0.38,-551.1
MCD,2023-01-01,268.27,7.24,285.82,6.54,252.82,-11.55,286.42,13.29,0.38,-435.84
PEP,2023-01-01,172.49,1.41,175.99,2.03,162.59,-7.61,164.26,1.03,0.38,0.0
BX,2023-01-01,81.61,13.82,88.65,8.63,102.19,15.27,124.91,22.23,0.37,0.0
IBM,2023-01-01,121.09,-6.04,125.04,3.26,132.75,6.17,156.11,17.6,0.37,0.0
DIS,2023-01-01,98.99,12.63,88.03,-11.07,79.93,-9.2,89.29,11.71,0.37,-404.06
LIN,2023-01-01,345.72,11.68,375.0,8.47,365.34,-2.58,404.84,10.81,0.36,0.0
TMO,2023-01-01,566.82,3.0,517.23,-8.75,501.38,-3.06,528.12,5.33,0.36,0.0
MS,2023-01-01,81.81,3.53,81.01,-0.98,76.79,-5.21,88.81,15.65,0.36,0.0
ABT,2023-01-01,96.82,-8.38,104.5,7.93,92.88,-11.12,106.86,15.05,0.36,-396.38
ADBE,2023-01-01,380.88,11.97,486.39,27.7,508.24,4.49,589.51,15.99,0.35,0.0
AMD,2023-01-01,96.7,46.52,115.16,19.09,102.21,-11.25,144.28,41.16,0.35,-391.56
PM,2023-01-01,88.86,-2.94,90.77,2.15,86.69,-4.49,89.34,3.06,0.35,0.0
ISRG,2023-01-01,254.3,-5.67,339.92,33.67,291.96,-14.11,333.0,14.06,0.34,-474.18
PLTR,2023-01-01,8.37,27.2,15.49,85.07,16.03,3.49,16.95,5.74,0.33,0.0
GE,2023-01-01,75.76,46.09,86.29,13.9,87.52,1.43,100.7,15.06,0.33,0.0
INTU,2023-01-01,437.34,11.9,447.75,2.38,506.07,13.03,617.52,22.02,0.32,0.0
GS,2023-01-01,309.32,-4.93,308.11,-0.39,310.31,0.71,372.1,19.91,0.32,0.0
CAT,2023-01-01,222.08,-3.98,238.76,7.51,265.98,11.4,287.74,8.18,0.32,0.0
TXN,2023-01-01,174.67,11.62,171.11,-2.04,152.55,-10.85,162.97,6.83,0.31,-332.76
QCOM,2023-01-01,121.38,14.75,114.79,-5.43,107.0,-6.79,138.69,29.62,0.31,0.0
VZ,2023-01-01,34.04,-0.26,32.94,-3.23,29.26,-11.17,34.76,18.8,0.3,-337.8
BKNG,2023-01-01,2616.19,29.72,2664.57,1.85,3038.58,14.04,3481.93,14.59,0.3,0.0
DHR,2023-01-01,219.95,-6.54,209.25,-4.86,217.59,3.99,228.87,5.18,0.3,0.0
T,2023-01-01,17.03,5.58,14.3,-16.03,13.72,-4.06,15.66,14.14,0.29,-470.78
BLK,2023-01-01,631.95,-7.04,661.01,4.6,622.1,-5.89,781.13,25.56,0.29,0.0
RTX,2023-01-01,93.6,-2.15,93.43,-0.18,69.23,-25.9,81.71,18.03,0.28,-722.43
SPGI,2023-01-01,336.87,0.4,392.81,16.61,362.98,-7.59,435.09,19.87,0.27,0.0
PFE,2023-01-01,36.42,-19.5,33.02,-9.34,30.14,-8.72,26.77,-11.18,0.27,-824.55
HON,2023-01-01,182.54,-10.96,199.12,9.08,178.15,-10.53,203.4,14.17,0.27,-574.01
NEE,2023-01-01,72.69,-8.08,70.13,-3.52,53.61,-23.56,58.36,8.86,0.27,-624.72
CMCSA,2023-01-01,35.82,9.61,38.92,8.65,42.32,8.74,41.94,-0.9,0.26,0.0
ANET,2023-01-01,41.41,34.75,40.33,-2.61,46.13,14.38,58.5,26.82,0.26,0.0
AMGN,2023-01-01,227.2,-6.41,209.64,-7.73,255.76,22.0,276.62,8.16,0.25,0.0
PGR,2023-01-01,138.85,10.42,128.54,-7.43,135.31,5.27,155.79,15.14,0.25,0.0
LOW,2023-01-01,193.42,0.3,217.16,12.27,201.44,-7.24,215.2,6.83,0.25,0.0
SYK,2023-01-01,279.51,15.31,298.53,6.8,268.22,-10.15,294.88,9.94,0.25,-253.81
UNP,2023-01-01,191.97,-2.42,195.51,1.84,195.34,-0.09,238.36,22.02,0.25,0.0
TJX,2023-01-01,75.89,-1.7,82.38,8.55,86.76,5.32,91.54,5.51,0.25,0.0
KKR,2023-01-01,51.41,10.75,55.29,7.55,60.94,10.22,81.39,33.56,0.25,0.0
SCHW,2023-01-01,51.13,-36.65,55.16,7.88,53.52,-2.97,66.91,25.02,0.24,-896.95
ETN,2023-01-01,166.25,8.4,195.75,17.74,210.0,7.28,235.97,12.37,0.24,0.0
AMAT,2023-01-01,119.58,22.19,141.96,18.72,137.17,-3.37,158.4,15.48,0.24,0.0
BA,2023-01-01,212.8,10.29,210.5,-1.08,191.47,-9.04,257.28,34.37,0.24,0.0
BSX,2023-01-01,49.98,7.53,53.72,7.48,52.49,-2.29,57.46,9.47,0.24,0.0
C,2023-01-01,43.57,4.06,43.06,-1.17,38.74,-10.03,49.12,26.79,0.24,-236.13
UBER,2023-01-01,31.5,24.16,43.17,37.05,45.57,5.56,60.73,33.27,0.23,0.0
COP,2023-01-01,98.89,-8.84,98.87,-0.02,115.44,16.76,113.06,-2.06,0.22,0.0
PANW,2023-01-01,99.0,40.11,127.55,28.84,117.5,-7.88,145.97,24.23,0.22,0.0
ADP,2023-01-01,210.28,-8.72,211.19,0.43,233.99,10.8,228.37,-2.4,0.22,0.0
DE,2023-01-01,402.76,-3.19,393.42,-2.32,372.2,-5.39,393.2,5.64,0.21,0.0
FI,2023-01-01,112.57,10.67,125.69,11.65,112.09,-10.82,132.33,18.06,0.21,-228.2
BMY,2023-01-01,63.25,-3.05,59.07,-6.61,54.07,-8.46,48.44,-10.41,0.21,-217.77
LMT,2023-01-01,448.28,-1.53,438.9,-2.09,392.81,-10.5,439.47,11.88,0.21,-218.97
GILD,2023-01-01,77.45,-1.59,71.9,-7.17,71.41,-0.68,77.73,8.85,0.21,0.0
NKE,2023-01-01,118.64,3.63,107.91,-9.04,93.79,-13.08,105.26,12.23,0.21,-269.51
CB,2023-01-01,189.51,-11.22,187.85,-0.88,203.49,8.33,223.39,9.78,0.2,-222.3
UPS,2023-01-01,175.96,11.62,164.23,-6.67,144.23,-12.18,147.61,2.34,0.19,-235.02
ADI,2023-01-01,189.64,19.22,188.13,-0.8,170.53,-9.36,192.94,13.14,0.19,0.0
MMC,2023-01-01,161.1,0.07,182.01,12.98,185.3,1.81,185.85,0.3,0.19,0.0
MDT,2023-01-01,75.8,3.94,83.24,9.82,74.7,-10.26,79.4,6.29,0.19,-191.8
VRTX,2023-01-01,315.0,9.14,348.77,10.72,346.76,-0.58,405.0,16.8,0.18,0.0
MU,2023-01-01,59.15,18.3,62.86,6.27,67.75,7.78,83.64,23.45,0.18,0.0
SBUX,2023-01-01,99.29,4.0,94.67,-4.65,87.77,-7.29,92.52,5.41,0.18,0.0
PLD,2023-01-01,117.61,9.55,116.23,-1.17,107.47,-7.54,128.65,19.71,0.17,0.0
LRCX,2023-01-01,50.29,22.39,61.86,23.01,60.54,-2.13,74.4,22.89,0.17,0.0
MO,2023-01-01,38.54,-0.13,39.76,3.17,37.8,-4.93,37.17,-1.67,0.16,0.0
SO,2023-01-01,64.19,-2.19,66.07,2.93,60.88,-7.86,66.63,9.44,0.16,0.0
EQIX,2023-01-01,686.12,8.21,746.12,8.74,700.91,-6.06,782.69,11.67,0.16,0.0
CRWD,2023-01-01,135.5,26.05,147.18,8.62,168.0,14.15,251.47,49.68,0.16,0.0
PYPL,2023-01-01,75.62,2.62,67.12,-11.24,58.62,-12.66,61.22,4.44,0.16,-375.6
SHW,2023-01-01,223.0,-5.4,259.02,16.15,250.92,-3.13,301.41,20.12,0.16,0.0
ICE,2023-01-01,102.07,1.26,110.35,8.11,107.7,-2.4,126.46,17.42,0.16,0.0
CME,2023-01-01,174.06,14.08,170.03,-2.32,184.21,8.34,202.26,9.8,0.15,0.0
AMT,2023-01-01,190.06,-5.05,183.74,-3.33,155.46,-15.39,207.39,33.4,0.15,-237.72
APH,2023-01-01,39.95,6.08,41.71,4.41,41.23,-1.15,48.57,17.8,0.15,0.0
ELV,2023-01-01,456.88,-7.81,433.89,-5.03,428.92,-1.15,465.49,8.53,0.15,0.0
TT,2023-01-01,179.61,7.63,187.24,4.25,200.35,7.0,239.51,19.55,0.15,0.0
MCO,2023-01-01,299.11,7.57,340.91,13.97,310.21,-9.01,382.26,23.23,0.15,0.0
CMG,2023-01-01,33.9,21.03,42.76,26.14,36.62,-14.36,45.57,24.44,0.15,-217.8
INTC,2023-01-01,32.15,23.27,32.87,2.24,35.02,6.54,48.55,38.64,0.15,0.0
KLAC,2023-01-01,389.38,3.78,477.07,22.52,452.78,-5.09,566.88,25.2,0.15,0.0
ABNB,2023-01-01,123.0,40.75,129.28,5.11,136.55,5.62,134.43,-1.55,0.15,0.0
DUK,2023-01-01,87.61,-6.9,83.5,-4.69,82.57,-1.11,91.88,11.28,0.15,0.0
PH,2023-01-01,328.0,15.23,380.06,15.87,382.33,0.6,452.42,18.33,0.15,0.0
CDNS,2023-01-01,209.0,28.35,234.38,12.14,235.44,0.45,269.16,14.32,0.15,0.0
WM,2023-01-01,158.44,3.92,168.34,6.25,150.04,-10.87,175.21,16.78,0.15,-161.56
DELL,2023-01-01,38.55,-0.23,52.3,35.67,66.92,27.95,74.0,10.58,0.15,0.0
MDLZ,2023-01-01,66.47,5.02,70.0,5.31,66.98,-4.31,70.46,5.2,0.14,0.0
MAR,2023-01-01,162.11,10.66,180.28,11.21,193.15,7.14,222.78,15.34,0.14,0.0
MSI,2023-01-01,278.38,10.25,286.23,2.82,267.89,-6.41,309.25,15.44,0.14,0.0
WELL,2023-01-01,68.46,9.08,77.03,12.52,78.71,2.18,87.84,11.6,0.14,0.0
AON,2023-01-01,310.13,4.67,337.74,8.9,320.56,-5.09,289.01,-9.84,0.14,0.0
REGN,2023-01-01,817.75,13.43,709.18,-13.28,825.94,16.46,872.79,5.67,0.14,-184.27
CI,2023-01-01,250.8,-20.32,270.61,7.9,278.41,2.88,294.97,5.95,0.14,-281.59
HCA,2023-01-01,259.16,9.06,296.75,14.5,243.14,-18.07,267.41,9.98,0.14,-250.02
PNC,2023-01-01,116.68,-19.8,117.71,0.88,114.96,-2.34,147.0,27.87,0.14,-272.46
ITW,2023-01-01,232.72,10.32,240.35,3.28,223.45,-7.03,254.23,13.77,0.14,0.0
SNPS,2023-01-01,385.18,19.25,431.52,12.03,461.19,6.88,507.95,10.14,0.14,0.0
CTAS,2023-01-01,108.91,2.32,117.45,7.84,116.31,-0.97,146.83,26.24,0.14,0.0
CL,2023-01-01,71.81,-3.89,73.62,2.52,68.54,-6.9,77.47,13.03,0.14,0.0
USB,2023-01-01,33.21,-17.0,30.88,-7.02,30.83,-0.16,41.21,33.67,0.13,-228.64
FTNT,2023-01-01,65.82,32.89,75.3,14.4,58.79,-21.93,58.1,-1.17,0.13,-293.91
ZTS,2023-01-01,163.55,12.46,167.58,2.46,170.58,1.79,193.29,13.31,0.13,0.0
MCK,2023-01-01,355.0,-3.65,419.12,18.06,430.46,2.71,460.03,6.87,0.13,0.0
GD,2023-01-01,219.03,-7.23,206.57,-5.69,214.67,3.92,253.18,17.94,0.13,0.0
TDG,2023-01-01,675.59,16.82,812.09,20.2,768.4,-5.38,952.49,23.96,0.13,0.0
CEG,2023-01-01,76.66,-8.98,89.76,17.09,107.1,19.32,115.38,7.73,0.13,0.0
AJG,2023-01-01,187.42,1.42,215.65,15.06,224.07,3.9,222.45,-0.72,0.13,0.0
EMR,2023-01-01,83.68,-9.24,87.0,3.97,93.62,7.61,94.33,0.76,0.13,0.0
MMM,2023-01-01,80.79,-12.33,78.16,-3.26,73.35,-6.15,87.35,19.09,0.13,-156.17
ORLY,2023-01-01,851.67,1.1,954.46,12.07,908.86,-4.78,948.89,4.4,0.13,0.0
NOC,2023-01-01,447.91,-14.67,439.96,-1.77,429.48,-2.38,459.37,6.96,0.12,-180.55
COF,2023-01-01,92.53,4.17,106.19,14.76,94.47,-11.04,128.1,35.6,0.12,-135.38
ECL,2023-01-01,162.38,12.88,182.75,12.54,166.89,-8.68,194.57,16.59,0.12,0.0
EOG,2023-01-01,112.71,-4.25,107.76,-4.39,120.32,11.66,117.52,-2.33,0.12,0.0
FDX,2023-01-01,219.37,30.64,239.81,9.32,259.42,8.18,246.45,-5.0,0.12,0.0
BDX,2023-01-01,239.78,-5.76,255.51,6.56,251.07,-1.74,239.16,-4.74,0.12,0.0
APD,2023-01-01,274.03,-6.99,286.8,4.66,272.29,-5.06,265.27,-2.58,0.12,0.0
WMB,2023-01-01,27.87,-5.94,30.45,9.26,31.7,4.11,33.45,5.52,0.12,0.0
SPG,2023-01-01,102.05,-3.33,106.13,4.0,100.78,-5.04,135.05,34.0,0.12,0.0
ADSK,2023-01-01,205.09,7.59,203.0,-1.02,206.06,1.51,240.79,16.85,0.12,0.0
RCL,2023-01-01,63.73,27.13,102.66,61.09,91.01,-11.35,126.23,38.7,0.12,-130.91
RSG,2023-01-01,132.24,4.58,149.41,12.98,140.17,-6.18,161.85,15.47,0.11,0.0
CARR,2023-01-01,44.27,8.53,48.78,10.19,53.96,10.62,56.21,4.17,0.11,0.0
CSX,2023-01-01,28.93,-3.92,33.03,14.17,29.96,-9.29,34.03,13.58,0.11,0.0
HLT,2023-01-01,139.74,10.17,143.73,2.86,148.34,3.21,180.69,21.81,0.11,0.0
DLR,2023-01-01,92.19,-2.33,108.27,17.44,115.65,6.82,129.93,12.35,0.11,0.0
TGT,2023-01-01,156.19,11.64,124.35,-20.39,105.17,-15.42,136.93,30.2,0.11,-388.14
KMI,2023-01-01,15.8,0.19,15.57,-1.46,15.25,-2.06,16.54,8.46,0.11,0.0
OKE,2023-01-01,58.85,0.77,56.61,-3.81,59.14,4.47,66.48,12.41,0.11,0.0
TFC,2023-01-01,30.28,-20.88,27.71,-8.49,26.31,-5.05,34.4,30.75,0.1,-216.03
AFL,2023-01-01,61.67,-9.93,67.02,8.68,74.21,10.73,80.36,8.29,0.1,0.0
GM,2023-01-01,35.62,7.19,38.03,6.77,32.33,-14.99,35.18,8.82,0.1,-153.64
BK,2023-01-01,42.69,-0.42,42.3,-0.91,40.75,-3.66,50.25,23.31,0.1,0.0
ROP,2023-01-01,435.19,1.18,473.09,8.71,479.68,1.39,538.52,12.27,0.1,0.0
MET,2023-01-01,54.68,-18.98,53.73,-1.74,59.68,11.07,63.78,6.87,0.1,-192.37
CPRT,2023-01-01,37.36,21.69,45.53,21.87,43.31,-4.88,48.8,12.68,0.1,0.0
FCX,2023-01-01,40.0,8.73,39.45,-1.38,36.03,-8.67,41.28,14.57,0.1,0.0
CVS,2023-01-01,69.36,-17.63,64.43,-7.11,65.35,1.43,74.78,14.43,0.1,-177.06
PCAR,2023-01-01,67.27,11.54,76.9,14.32,78.62,2.24,92.99,18.28,0.1,0.0
SRE,2023-01-01,71.32,-1.44,68.16,-4.43,64.88,-4.81,72.23,11.33,0.1,0.0
AZO,2023-01-01,2466.44,1.02,2468.55,0.09,2535.0,2.69,2590.0,2.17,0.1,0.0
TRV,2023-01-01,165.06,-7.92,167.29,1.35,159.3,-4.78,186.8,17.26,0.1,0.0
NXPI,2023-01-01,180.54,16.79,201.09,11.38,197.42,-1.83,224.48,13.71,0.1,0.0
JCI,2023-01-01,57.67,-6.95,65.62,13.79,51.5,-21.52,56.21,9.15,0.1,-206.74
GWW,2023-01-01,673.14,22.99,775.11,15.15,684.68,-11.67,813.39,18.8,0.1,-111.76
NSC,2023-01-01,200.9,-14.27,216.04,7.54,182.66,-15.45,229.09,25.42,0.1,-283.25
PSA,2023-01-01,285.74,10.32,273.74,-4.2,251.82,-8.01,293.27,16.46,0.09,0.0
SLB,2023-01-01,49.91,-0.64,47.33,-5.17,56.22,18.78,50.8,-9.64,0.09,0.0
AMP,2023-01-01,298.14,-1.74,323.07,8.36,320.61,-0.76,372.74,16.26,0.09,0.0
ALL,2023-01-01,107.84,-16.3,105.16,-2.49,107.95,2.65,137.45,27.33,0.09,-150.31
FICO,2023-01-01,700.0,15.01,805.9,15.13,865.0,7.33,1152.4,33.23,0.09,0.0
MNST,2023-01-01,54.22,6.56,57.0,5.13,52.83,-7.32,57.52,8.88,0.09,0.0
PAYX,2023-01-01,106.12,-2.76,105.84,-0.26,109.86,3.8,114.58,4.3,0.09,0.0
CHTR,2023-01-01,358.98,4.95,366.24,2.02,440.13,20.18,386.84,-12.11,0.09,-108.89
AEP,2023-01-01,83.52,-3.79,78.42,-6.11,70.25,-10.42,77.11,9.77,0.09,-92.6
ROST,2023-01-01,104.05,-8.84,109.48,5.22,111.56,1.9,136.14,22.03,0.09,0.0
PWR,2023-01-01,166.37,16.82,195.45,17.48,186.56,-4.55,213.31,14.34,0.09,0.0
CMI,2023-01-01,227.19,-1.15,235.16,3.51,219.98,-6.46,232.72,5.79,0.09,0.0
AXON,2023-01-01,223.98,33.42,194.31,-13.25,197.29,1.53,254.47,28.98,0.09,-114.83
VST,2023-01-01,23.17,3.58,25.59,10.44,32.86,28.41,37.91,15.37,0.09,0.0
URI,2023-01-01,386.0,10.7,435.16,12.74,437.26,0.48,562.35,28.61,0.09,0.0
MSCI,2023-01-01,541.01,18.17,459.21,-15.12,502.64,9.46,551.86,9.79,0.09,-128.94
LULU,2023-01-01,364.19,11.41,379.9,4.31,384.6,1.24,508.57,32.23,0.08,0.0
O,2023-01-01,56.56,-0.26,54.37,-3.87,45.97,-15.45,53.48,16.34,0.08,-128.43
PSX,2023-01-01,97.83,2.56,90.11,-7.89,114.2,26.73,128.11,12.18,0.08,0.0
AIG,2023-01-01,48.53,-19.94,55.71,14.79,58.86,5.65,65.94,12.03,0.08,-162.66
FANG,2023-01-01,131.57,8.22,121.76,-7.46,144.37,18.57,148.84,3.1,0.08,0.0
D,2023-01-01,50.52,-7.56,47.14,-6.69,41.24,-12.52,44.03,6.77,0.08,-101.53
HWM,2023-01-01,41.98,7.37,48.91,16.51,45.73,-6.5,53.63,17.28,0.08,0.0
DHI,2023-01-01,95.6,7.65,119.73,25.24,104.83,-12.44,148.24,41.41,0.08,-100.25
KR,2023-01-01,47.35,12.1,45.08,-4.79,43.09,-4.41,44.42,3.09,0.08,0.0
NDAQ,2023-01-01,52.94,-11.29,48.59,-8.22,47.67,-1.89,57.19,19.97,0.08,-90.71
OXY,2023-01-01,64.12,5.83,57.67,-10.06,63.76,10.56,59.22,-7.12,0.08,-80.04
EW,2023-01-01,82.31,8.29,93.62,13.74,68.86,-26.45,75.69,9.92,0.08,-209.97
COR,2023-01-01,157.94,-1.97,188.15,19.13,177.52,-5.65,202.74,14.21,0.08,0.0
KDP,2023-01-01,33.72,0.24,30.02,-10.97,30.45,1.43,32.28,6.01,0.08,-86.66
FIS,2023-01-01,52.04,-20.02,55.91,7.44,53.83,-3.72,58.72,9.08,0.08,-157.96
KMB,2023-01-01,124.76,-0.45,128.38,2.9,113.88,-11.29,115.89,1.77,0.08,-88.95
NEM,2023-01-01,46.12,2.49,40.73,-11.69,35.01,-14.04,40.02,14.31,0.08,-201.74
DFS,2023-01-01,94.36,0.64,112.24,18.95,88.58,-21.08,108.67,22.68,0.08,-164.88
PCG,2023-01-01,16.14,1.32,17.09,5.89,15.99,-6.44,17.83,11.51,0.08,0.0
TEL,2023-01-01,127.19,13.09,136.75,7.52,120.68,-11.75,137.52,13.95,0.08,-90.86
MPC,2023-01-01,131.42,19.35,112.97,-14.04,146.39,29.58,145.22,-0.8,0.08,-108.28
FAST,2023-01-01,50.97,13.65,56.1,10.06,52.53,-6.36,62.5,18.98,0.08,0.0
AME,2023-01-01,142.83,3.22,159.16,11.43,146.56,-7.92,162.73,11.03,0.08,0.0
PEG,2023-01-01,58.37,1.78,59.34,1.66,54.33,-8.44,58.96,8.52,0.08,0.0
PRU,2023-01-01,74.99,-16.26,81.4,8.55,87.86,7.94,97.82,11.34,0.08,-122.69
KVUE,2023-07-01,19.07,-22.42,20.42,7.08,,,,,0.08,-168.36
STZ,2023-01-01,218.68,-2.25,239.2,9.38,244.1,2.05,235.42,-3.56,0.07,0.0
GLW,2023-01-01,33.02,10.18,33.17,0.45,28.96,-12.69,29.16,0.69,0.07,-92.48
LHX,2023-01-01,189.3,-4.63,189.18,-0.06,169.17,-10.58,206.28,21.94,0.07,-77.1
GRMN,2023-01-01,97.24,9.31,101.23,4.1,102.27,1.03,125.37,22.59,0.07,0.0
BKR,2023-01-01,28.75,3.49,30.34,5.53,33.95,11.9,33.4,-1.62,0.07,0.0
CBRE,2023-01-01,72.53,-7.06,80.53,11.03,72.69,-9.74,92.42,27.14,0.07,0.0
CTVA,2023-01-01,59.16,3.39,56.5,-4.5,50.04,-11.43,47.15,-5.78,0.07,-81.24
HES,2023-01-01,136.23,-0.19,133.86,-1.74,150.57,12.48,143.8,-4.5,0.07,0.0
CCI,2023-01-01,119.65,-1.98,104.19,-12.92,85.25,-18.18,107.93,26.6,0.07,-220.46
DAL,2023-01-01,33.86,3.67,46.59,37.6,36.39,-21.89,39.45,8.41,0.07,-154.84
CTSH,2023-01-01,58.83,5.89,63.07,7.21,65.95,4.57,73.83,11.95,0.07,0.0
F,2023-01-01,10.91,12.71,13.36,22.46,11.03,-17.44,10.9,-1.18,0.07,-123.2
VRSK,2023-01-01,188.29,7.44,222.29,18.06,233.59,5.08,236.41,1.21,0.07,0.0
EA,2023-01-01,118.81,-2.63,127.87,7.63,118.99,-6.94,134.6,13.12,0.07,0.0
ODFL,2023-01-01,167.67,18.56,182.29,8.72,201.62,10.6,200.29,-0.66,0.07,0.0
XEL,2023-01-01,63.2,-2.77,58.71,-7.1,54.52,-7.14,59.54,9.21,0.07,0.0
TRGP,2023-01-01,71.9,3.13,73.31,1.96,82.83,12.99,85.06,2.69,0.07,0.0
A,2023-01-01,135.49,-9.56,118.75,-12.36,109.73,-7.6,137.24,25.07,0.07,-85.43
IT,2023-01-01,323.27,-4.76,348.03,7.66,343.47,-1.31,446.82,30.09,0.07,0.0
LVS,2023-01-01,57.8,20.95,56.62,-2.04,44.33,-21.71,47.78,7.78,0.07,-147.97
SYY,2023-01-01,73.24,1.82,70.46,-3.8,63.33,-10.12,70.54,11.38,0.07,-68.84
VLO,2023-01-01,133.38,13.68,112.23,-15.86,135.49,20.73,125.92,-7.06,0.07,-107.13
OTIS,2023-01-01,81.62,7.13,85.99,5.35,78.17,-9.09,86.64,10.84,0.07,0.0
LEN,2023-01-01,98.46,14.38,118.9,20.76,105.71,-11.09,140.19,32.62,0.07,-74.44
EXC,2023-01-01,38.72,-2.49,37.94,-2.01,35.42,-6.64,34.0,-4.01,0.07,0.0
